weighting,relationship,controlling_for,n,pearson,pearson_p,spearman,spearman_p
unweighted,methane ~ surface_albedo_SWIR,,926,0.6999,3.381e-137,0.4609,6.857e-50
unweighted,methane ~ surface_albedo_NIR,,926,0.7461,2.006e-165,0.4597,1.330e-49
unweighted,methane ~ solar_zenith_angle,,926,0.695,1.644e-134,0.3098,4.802e-22
unweighted,surface_albedo_SWIR ~ impervious_fraction,,926,0.4746,3.408e-53,0.7609,9.827e-176
unweighted,surface_albedo_SWIR ~ rice_fraction_single,,531,0.3215,3.127e-14,0.3859,2.642e-20
unweighted,surface_albedo_NIR ~ impervious_fraction,,926,0.3393,2.245e-26,0.5434,2.931e-72
unweighted,surface_albedo_NIR ~ rice_fraction_single,,531,0.5021,2.922e-35,0.5991,4.981e-53
unweighted,methane ~ impervious_fraction,,926,0.3452,2.639e-27,0.5055,3.116e-61
unweighted,methane ~ rice_fraction_single,,531,0.096,2.700e-02,0.0718,9.816e-02
unweighted,methane ~ impervious_fraction,surface_albedo_SWIR,926,0.0207,5.296e-01,0.1282,9.232e-05
unweighted,methane ~ rice_fraction_single,surface_albedo_SWIR,531,-0.0073,8.664e-01,-0.0103,8.122e-01
unweighted,methane ~ impervious_fraction,"surface_albedo_SWIR, surface_albedo_NIR, solar_zenith_angle",926,0.1413,1.649e-05,0.1835,1.952e-08
unweighted,methane ~ rice_fraction_single,"surface_albedo_SWIR, surface_albedo_NIR, solar_zenith_angle",531,-0.053,2.242e-01,-0.0081,8.525e-01
by sounding count,methane ~ surface_albedo_SWIR,,926,0.5919,1.253e-88,0.2534,4.989e-15
by sounding count,methane ~ surface_albedo_NIR,,926,0.7049,5.473e-140,0.267,1.394e-16
by sounding count,methane ~ solar_zenith_angle,,926,0.7026,1.101e-138,0.1136,5.313e-04
by sounding count,surface_albedo_SWIR ~ impervious_fraction,,926,0.3169,4.764e-23,0.607,2.677e-94
by sounding count,surface_albedo_SWIR ~ rice_fraction_single,,531,-0.1819,2.468e-05,-0.1091,1.185e-02
by sounding count,surface_albedo_NIR ~ impervious_fraction,,926,0.1928,3.307e-09,0.4286,1.171e-42
by sounding count,surface_albedo_NIR ~ rice_fraction_single,,531,0.2989,2.019e-12,0.2646,5.907e-10
by sounding count,methane ~ impervious_fraction,,926,0.2124,6.648e-11,0.2202,1.238e-11
by sounding count,methane ~ rice_fraction_single,,531,-0.0882,4.213e-02,-0.1346,1.884e-03
by sounding count,methane ~ impervious_fraction,surface_albedo_SWIR,926,0.0324,3.246e-01,-0.0051,8.769e-01
by sounding count,methane ~ rice_fraction_single,surface_albedo_SWIR,531,-0.0657,1.310e-01,-0.1133,9.015e-03
by sounding count,methane ~ impervious_fraction,"surface_albedo_SWIR, surface_albedo_NIR, solar_zenith_angle",926,0.0614,6.242e-02,-0.0218,5.081e-01
by sounding count,methane ~ rice_fraction_single,"surface_albedo_SWIR, surface_albedo_NIR, solar_zenith_angle",531,-0.0176,6.858e-01,-0.0146,7.380e-01
