albedo,series,weighting,n,pearson,spearman,slope_ppb_per_unit_albedo,standard_error,r2
surface_albedo_SWIR,raw retrieval,unweighted,926,0.7375,0.7227,203.851,6.141,0.543906
surface_albedo_SWIR,raw retrieval,by sounding count,926,0.8069,0.7128,183.733,4.425,0.651105
surface_albedo_SWIR,bias corrected,unweighted,926,0.6999,0.4609,199.656,6.703,0.489852
surface_albedo_SWIR,bias corrected,by sounding count,926,0.5919,0.2534,126.235,5.655,0.350369
surface_albedo_SWIR,the correction itself,unweighted,926,-0.044,-0.3106,-4.195,3.132,0.001938
surface_albedo_SWIR,the correction itself,by sounding count,926,-0.5498,-0.7356,-57.498,2.874,0.302239
surface_albedo_SWIR,deseasonalised,unweighted,926,0.6776,0.4528,172.468,6.158,0.459154
surface_albedo_SWIR,deseasonalised,by sounding count,926,0.5578,0.2195,106.451,5.211,0.311154
surface_albedo_NIR,raw retrieval,unweighted,926,0.6936,0.5831,117.286,4.008,0.481028
surface_albedo_NIR,raw retrieval,by sounding count,926,0.725,0.5272,118.333,3.699,0.525554
surface_albedo_NIR,bias corrected,unweighted,926,0.7461,0.4597,130.222,3.823,0.556739
surface_albedo_NIR,bias corrected,by sounding count,926,0.7049,0.267,107.766,3.567,0.496891
surface_albedo_NIR,the correction itself,unweighted,926,0.2218,-0.0377,12.936,1.871,0.049215
surface_albedo_NIR,the correction itself,by sounding count,926,-0.1409,-0.3992,-10.567,2.442,0.019863
surface_albedo_NIR,deseasonalised,unweighted,926,0.7147,0.418,111.295,3.583,0.510831
surface_albedo_NIR,deseasonalised,by sounding count,926,0.6522,0.1906,89.22,3.412,0.425333
