predictors,model,scheme,weighting,n,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,beats_spatial_null
gaia+nesdc,constant (global mean),leave-one-province-out,unweighted,927,14.8652,0.0,16.0732,-0.1691,no
gaia+nesdc,constant (global mean),leave-one-province-out,by sounding count,927,7.7898,0.0,8.1241,-0.0877,no
gaia+nesdc,constant (global mean),spatial blocks,unweighted,927,14.8652,0.0,14.9255,-0.0081,no
gaia+nesdc,constant (global mean),spatial blocks,by sounding count,927,7.7898,0.0,7.8017,-0.003,no
gaia+nesdc,constant (per province),leave-one-province-out,unweighted,927,13.8694,0.1295,16.0732,-0.1691,no
gaia+nesdc,constant (per province),leave-one-province-out,by sounding count,927,7.5029,0.0723,8.1241,-0.0877,no
gaia+nesdc,constant (per province),spatial blocks,unweighted,927,13.8694,0.1295,14.1014,0.1001,no
gaia+nesdc,constant (per province),spatial blocks,by sounding count,927,7.5029,0.0723,7.562,0.0576,no
gaia+nesdc,spatial null (queen neighbour mean),leave-one-province-out,unweighted,927,8.3568,0.684,15.5183,-0.0898,no
gaia+nesdc,spatial null (queen neighbour mean),leave-one-province-out,by sounding count,927,2.677,0.8819,7.7975,-0.002,no
gaia+nesdc,spatial null (queen neighbour mean),spatial blocks,unweighted,927,8.3568,0.684,12.024,0.3457,no
gaia+nesdc,spatial null (queen neighbour mean),spatial blocks,by sounding count,927,2.677,0.8819,5.4553,0.5096,no
gaia+nesdc,OLS impervious_fraction,leave-one-province-out,unweighted,927,13.9476,0.1197,15.6737,-0.1117,no
gaia+nesdc,OLS impervious_fraction,leave-one-province-out,by sounding count,927,7.6059,0.0467,8.4092,-0.1653,no
gaia+nesdc,OLS impervious_fraction,spatial blocks,unweighted,927,13.9476,0.1197,14.2161,0.0854,no
gaia+nesdc,OLS impervious_fraction,spatial blocks,by sounding count,927,7.6059,0.0467,7.6883,0.0259,no
gaia+nesdc,constant (global mean) [rice sample],leave-one-province-out,unweighted,532,10.8862,0.0,10.9219,-0.0066,no
gaia+nesdc,constant (global mean) [rice sample],leave-one-province-out,by sounding count,532,4.6236,0.0,5.3036,-0.3157,no
gaia+nesdc,constant (global mean) [rice sample],spatial blocks,unweighted,532,10.8862,0.0,11.0712,-0.0343,no
gaia+nesdc,constant (global mean) [rice sample],spatial blocks,by sounding count,532,4.6236,0.0,4.8327,-0.0925,no
gaia+nesdc,constant (per province) [rice sample],leave-one-province-out,unweighted,532,10.8371,0.009,10.9219,-0.0066,no
gaia+nesdc,constant (per province) [rice sample],leave-one-province-out,by sounding count,532,4.2211,0.1665,5.3036,-0.3157,no
gaia+nesdc,constant (per province) [rice sample],spatial blocks,unweighted,532,10.8371,0.009,11.2086,-0.0601,no
gaia+nesdc,constant (per province) [rice sample],spatial blocks,by sounding count,532,4.2211,0.1665,4.5394,0.0361,no
gaia+nesdc,spatial null (queen neighbour mean) [rice sample],leave-one-province-out,unweighted,532,9.4591,0.245,10.9334,-0.0087,no
gaia+nesdc,spatial null (queen neighbour mean) [rice sample],leave-one-province-out,by sounding count,532,2.7288,0.6517,5.2694,-0.2988,no
gaia+nesdc,spatial null (queen neighbour mean) [rice sample],spatial blocks,unweighted,532,9.4591,0.245,10.9845,-0.0181,no
gaia+nesdc,spatial null (queen neighbour mean) [rice sample],spatial blocks,by sounding count,532,2.7288,0.6517,4.3958,0.0961,no
gaia+nesdc,OLS impervious_fraction [rice sample],leave-one-province-out,unweighted,532,10.6245,0.0475,11.2278,-0.0637,no
gaia+nesdc,OLS impervious_fraction [rice sample],leave-one-province-out,by sounding count,532,4.5591,0.0277,6.1097,-0.7461,no
gaia+nesdc,OLS impervious_fraction [rice sample],spatial blocks,unweighted,532,10.6245,0.0475,10.7913,0.0174,yes
gaia+nesdc,OLS impervious_fraction [rice sample],spatial blocks,by sounding count,532,4.5591,0.0277,4.7815,-0.0695,no
gaia+nesdc,OLS rice_fraction_single,leave-one-province-out,unweighted,532,10.8301,0.0103,11.2248,-0.0632,no
gaia+nesdc,OLS rice_fraction_single,leave-one-province-out,by sounding count,532,4.6056,0.0078,5.4978,-0.4139,no
gaia+nesdc,OLS rice_fraction_single,spatial blocks,unweighted,532,10.8301,0.0103,11.0624,-0.0326,no
gaia+nesdc,OLS rice_fraction_single,spatial blocks,by sounding count,532,4.6056,0.0078,4.8324,-0.0923,no
gaia+nesdc,OLS rice_fraction_combined,leave-one-province-out,unweighted,532,10.8323,0.0099,11.1763,-0.054,no
gaia+nesdc,OLS rice_fraction_combined,leave-one-province-out,by sounding count,532,4.6084,0.0066,5.4816,-0.4055,no
gaia+nesdc,OLS rice_fraction_combined,spatial blocks,unweighted,532,10.8323,0.0099,11.0663,-0.0334,no
gaia+nesdc,OLS rice_fraction_combined,spatial blocks,by sounding count,532,4.6084,0.0066,4.8326,-0.0924,no
gaia+nesdc,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,unweighted,532,10.575,0.0564,11.5508,-0.1258,no
gaia+nesdc,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,by sounding count,532,4.5471,0.0328,6.281,-0.8454,no
gaia+nesdc,OLS impervious_fraction + rice_fraction_single,spatial blocks,unweighted,532,10.575,0.0564,10.7934,0.017,yes
gaia+nesdc,OLS impervious_fraction + rice_fraction_single,spatial blocks,by sounding count,532,4.5471,0.0328,4.7996,-0.0776,no
gaia+nesdc,OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,unweighted,532,10.4763,0.0739,11.2751,-0.0727,no
gaia+nesdc,OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,by sounding count,532,4.4788,0.0617,6.1972,-0.7965,no
gaia+nesdc,OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,unweighted,532,10.4763,0.0739,10.704,0.0332,yes
gaia+nesdc,OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,by sounding count,532,4.4788,0.0617,4.7195,-0.0419,no
gaia+nesdc,"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,927,12.7108,0.2689,16.7426,-0.2685,no
gaia+nesdc,"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,927,6.5876,0.2849,8.0958,-0.0801,no
gaia+nesdc,"OLS trend surface (lat, lon)",spatial blocks,unweighted,927,12.7108,0.2689,12.9453,0.2416,no
gaia+nesdc,"OLS trend surface (lat, lon)",spatial blocks,by sounding count,927,6.5876,0.2849,6.6908,0.2623,no
gaia+nesdc,"OLS wind (u, v, speed)",leave-one-province-out,unweighted,927,8.5884,0.6662,8.9739,0.6356,no
gaia+nesdc,"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,927,4.8988,0.6045,6.4324,0.3181,no
gaia+nesdc,"OLS wind (u, v, speed)",spatial blocks,unweighted,927,8.5884,0.6662,8.754,0.6532,no
