centre_lat,centre_lon,sounding_count,ch4_bias_corrected_ppb,ch4_raw_ppb,impervious_fraction,impervious_coverage,rice_fraction_single,rice_fraction_combined,rice_coverage,province_share_outside,share_anhui,share_jiangsu,share_shanghai,share_zhejiang
35.075,114.925,104,1900.54,1893.56,0.063141,0.9996,,,0.0,1.0,,,,
35.075,115.175,330,1895.63,1891.68,0.132563,1.0007,,,0.0,1.0,,,,
35.075,115.425,340,1894.5,1889.72,0.140124,1.0007,,,0.0,1.0,,,,
35.075,115.675,375,1894.55,1889.07,0.126706,0.9996,,,0.0,1.0,,,,
35.075,115.925,384,1893.53,1888.17,0.094222,1.0007,,,0.0,1.0,,,,
35.075,116.175,398,1891.98,1886.56,0.128563,1.0007,,,0.0,1.0,,,,
35.075,116.425,352,1892.81,1884.42,0.124991,0.9996,,,0.0,1.0,,,,
35.075,116.675,116,1891.25,1877.2,0.0966,1.0007,,,0.0,1.0,,,,
35.075,116.925,164,1891.81,1883.51,0.119491,1.0007,0.067633,0.067633,0.0038,0.9962,,0.0038,,
35.075,117.175,293,1889.44,1884.1,0.260804,0.9996,,,0.0,1.0,,,,
35.075,117.425,336,1886.36,1880.24,0.082651,1.0007,,,0.0,1.0,,,,
35.075,117.675,298,1884.73,1877.33,0.043259,1.0007,,,0.0,1.0,,,,
35.075,117.925,277,1887.05,1881.31,0.0666,0.9996,,,0.0,1.0,,,,
35.075,118.175,310,1888.68,1885.26,0.482545,1.0007,,,0.0,1.0,,,,
35.075,118.425,154,1887.74,1881.94,0.520968,1.0007,,,0.0,1.0,,,,
35.075,118.675,379,1885.8,1881.61,0.152805,0.9996,,,0.0,1.0,,,,
35.075,118.925,304,1886.35,1881.73,0.143667,1.0007,0.147917,0.147917,0.3046,0.6955,,0.3045,,
35.075,119.175,133,1887.93,1883.38,0.221554,1.0007,0.137286,0.137286,0.355,0.645,,0.355,,
35.075,119.425,3,1872.93,1865.74,0.104127,0.9996,,,0.0,1.0,,,,
35.075,119.675,38,1876.2,1869.0,0.0,1.0007,,,0.0,1.0,,,,
35.075,119.925,53,1876.71,1864.17,0.0,0.9996,,,0.0,1.0,,,,
35.075,120.175,46,1871.17,1864.0,0.0,1.0007,,,0.0,1.0,,,,
35.075,120.425,46,1877.8,1870.6,0.0,1.0007,,,0.0,1.0,,,,
35.075,120.675,56,1881.85,1874.63,0.0,0.9996,,,0.0,1.0,,,,
35.075,120.925,40,1877.27,1870.07,0.0,1.0007,,,0.0,1.0,,,,
35.075,121.175,41,1871.28,1864.11,0.0,1.0007,,,0.0,1.0,,,,
35.075,121.425,48,1868.3,1861.14,0.0,0.9996,,,0.0,1.0,,,,
35.075,121.675,58,1861.68,1854.54,0.0,1.0007,,,0.0,1.0,,,,
35.075,121.925,64,1856.19,1849.07,0.0,1.0007,,,0.0,1.0,,,,
35.075,122.175,57,1856.54,1849.42,0.0,0.9996,,,0.0,1.0,,,,
35.075,122.425,51,1861.64,1854.5,0.0,1.0007,,,0.0,1.0,,,,
34.825,114.925,268,1895.42,1891.32,0.124605,0.9986,,,0.0,1.0,,,,
34.825,115.175,325,1895.45,1890.75,0.05499,0.9996,,,0.0,1.0,,,,
34.825,115.425,280,1895.91,1890.35,0.103558,0.9996,,,0.0,1.0,,,,
34.825,115.675,370,1896.11,1890.9,0.094058,0.9986,,,0.0,1.0,,,,
34.825,115.925,362,1894.64,1889.47,0.072371,0.9996,,,0.0,1.0,,,,
34.825,116.175,368,1895.64,1890.6,0.124811,0.9996,,,0.0,1.0,,,,
34.825,116.425,410,1893.85,1887.33,0.075643,0.9986,0.153583,0.153583,0.4255,0.5745,,0.4255,,
34.825,116.675,354,1892.13,1884.59,0.133033,0.9996,0.160283,0.160283,0.925,0.0751,,0.9249,,
34.825,116.925,169,1890.68,1879.04,0.194817,0.9996,0.194175,0.194175,0.6657,0.3343,,0.6657,,
34.825,117.175,205,1891.97,1884.01,0.206759,0.9986,0.187913,0.187913,0.0031,0.9969,,0.0031,,
34.825,117.425,332,1888.79,1882.43,0.21897,0.9996,,,0.0,1.0,,,,
34.825,117.675,323,1894.12,1887.51,0.249499,0.9996,,,0.0,1.0,,,,
34.825,117.925,342,1887.27,1881.29,0.276448,0.9986,,,0.0,1.0,,,,
34.825,118.175,372,1889.8,1883.77,0.244009,0.9996,,,0.0,1.0,,,,
34.825,118.425,287,1890.07,1883.63,0.181449,0.9996,0.129139,0.129139,0.0026,0.9973,,0.0027,,
34.825,118.675,235,1887.81,1883.12,0.160043,0.9986,0.113067,0.113067,0.1041,0.8959,,0.1041,,
34.825,118.925,161,1888.07,1880.72,0.142794,0.9996,0.246509,0.246509,0.9686,0.0314,,0.9686,,
34.825,119.175,39,1893.18,1884.57,0.174313,0.9996,0.171285,0.171285,0.6596,0.3404,,0.6596,,
34.825,119.425,2,1872.86,1865.68,0.071793,0.9986,0.018023,0.018023,0.1517,0.8483,,0.1517,,
34.825,119.675,29,1873.38,1866.2,0.0,0.9996,,,0.0,1.0,,,,
34.825,119.925,44,1870.6,1863.43,0.0,0.9986,,,0.0,1.0,,,,
34.825,120.175,51,1873.97,1866.79,0.0,0.9996,,,0.0,1.0,,,,
34.825,120.425,46,1869.19,1862.02,0.0,0.9996,,,0.0,1.0,,,,
34.825,120.675,53,1879.7,1872.49,0.0,0.9986,,,0.0,1.0,,,,
34.825,120.925,45,1867.94,1860.78,0.0,0.9996,,,0.0,1.0,,,,
34.825,121.175,37,1866.63,1859.47,0.0,0.9996,,,0.0,1.0,,,,
34.825,121.425,40,1862.42,1855.28,0.0,0.9986,,,0.0,1.0,,,,
34.825,121.675,53,1856.35,1849.23,0.0,0.9996,,,0.0,1.0,,,,
34.825,121.925,49,1853.09,1845.98,0.0,0.9996,,,0.0,1.0,,,,
34.825,122.175,57,1852.73,1845.63,0.0,0.9986,,,0.0,1.0,,,,
34.825,122.425,60,1859.23,1852.09,0.0,0.9996,,,0.0,1.0,,,,
34.575,114.925,332,1896.37,1892.02,0.059458,0.9996,,,0.0,1.0,,,,
34.575,115.175,246,1896.49,1891.59,0.131926,1.0007,,,0.0,1.0,,,,
34.575,115.425,211,1898.46,1892.11,0.0768,1.0007,,,0.0,1.0,,,,
34.575,115.675,296,1895.41,1889.93,0.10558,0.9996,,,0.0,1.0,,,,
34.575,115.925,254,1898.28,1892.15,0.048298,1.0007,,,0.0,1.0,,,,
34.575,116.175,365,1894.27,1888.07,0.05202,1.0007,,,0.0,0.7082,0.2918,,,
34.575,116.425,381,1891.31,1884.05,0.071397,0.9996,0.117034,0.117034,0.2559,0.1129,0.6312,0.2559,,
34.575,116.675,347,1889.59,1882.56,0.140397,1.0007,0.11657,0.11657,0.8816,0.0,0.1184,0.8816,,
34.575,116.925,340,1892.63,1885.26,0.126752,1.0007,0.158047,0.158047,1.0,0.0,,1.0,,
34.575,117.175,81,1892.72,1879.45,0.045694,0.9996,0.196094,0.196094,0.4036,0.5963,,0.4037,,
34.575,117.425,187,1891.95,1885.17,0.143738,1.0007,0.03299,0.03299,0.2791,0.7209,,0.2791,,
34.575,117.675,381,1890.6,1883.41,0.153724,1.0007,0.127345,0.127345,0.28,0.7201,,0.2799,,
