model,scheme,weighting,n,dropped_missing,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,detail
constant (global mean),leave-one-province-out,unweighted,926,0,15.9018,0.0,17.4874,-0.2094,
constant (global mean),leave-one-province-out,by sounding count,926,0,8.5797,0.0,9.1217,-0.1303,
constant (global mean),spatial blocks,unweighted,926,0,15.9018,0.0,15.9546,-0.0067,
constant (global mean),spatial blocks,by sounding count,926,0,8.5797,0.0,8.5951,-0.0036,
constant (per province),leave-one-province-out,unweighted,926,0,14.572,0.1603,17.4874,-0.2094,groups: 5
constant (per province),leave-one-province-out,by sounding count,926,0,8.1687,0.0935,9.1217,-0.1303,groups: 5
constant (per province),spatial blocks,unweighted,926,0,14.572,0.1603,14.7888,0.1351,groups: 5
constant (per province),spatial blocks,by sounding count,926,0,8.1687,0.0935,8.2344,0.0789,groups: 5
spatial null (queen neighbour mean),leave-one-province-out,unweighted,926,0,7.9283,0.7514,16.8692,-0.1254,601 test cells had no training neighbour
spatial null (queen neighbour mean),leave-one-province-out,by sounding count,926,0,2.4459,0.9187,8.5205,0.0138,601 test cells had no training neighbour
spatial null (queen neighbour mean),spatial blocks,unweighted,926,0,7.9283,0.7514,12.1723,0.4141,349 test cells had no training neighbour
spatial null (queen neighbour mean),spatial blocks,by sounding count,926,0,2.4459,0.9187,5.6787,0.5619,349 test cells had no training neighbour
OLS impervious_fraction,leave-one-province-out,unweighted,926,0,15.0901,0.0995,17.4988,-0.211,intercept +1872.2832; impervious_fraction +40.1371
OLS impervious_fraction,leave-one-province-out,by sounding count,926,0,8.5001,0.0185,9.6316,-0.2602,intercept +1880.3627; impervious_fraction +11.1425
OLS impervious_fraction,spatial blocks,unweighted,926,0,15.0901,0.0995,15.374,0.0653,intercept +1872.2832; impervious_fraction +40.1371
OLS impervious_fraction,spatial blocks,by sounding count,926,0,8.5001,0.0185,8.6023,-0.0053,intercept +1880.3627; impervious_fraction +11.1425
constant (global mean) [rice sample],leave-one-province-out,unweighted,531,0,10.4778,0.0,10.7373,-0.0501,
constant (global mean) [rice sample],leave-one-province-out,by sounding count,531,0,4.5905,0.0,5.8239,-0.6096,
constant (global mean) [rice sample],spatial blocks,unweighted,531,0,10.4778,0.0,10.5737,-0.0184,
constant (global mean) [rice sample],spatial blocks,by sounding count,531,0,4.5905,0.0,4.7474,-0.0696,
constant (per province) [rice sample],leave-one-province-out,unweighted,531,0,10.2662,0.04,10.7373,-0.0501,groups: 5
constant (per province) [rice sample],leave-one-province-out,by sounding count,531,0,3.9727,0.2511,5.8239,-0.6096,groups: 5
constant (per province) [rice sample],spatial blocks,unweighted,531,0,10.2662,0.04,10.6454,-0.0322,groups: 5
constant (per province) [rice sample],spatial blocks,by sounding count,531,0,3.9727,0.2511,4.3321,0.1094,groups: 5
spatial null (queen neighbour mean) [rice sample],leave-one-province-out,unweighted,531,0,9.1143,0.2433,10.9529,-0.0927,411 test cells had no training neighbour
spatial null (queen neighbour mean) [rice sample],leave-one-province-out,by sounding count,531,0,2.4447,0.7164,5.7915,-0.5917,411 test cells had no training neighbour
spatial null (queen neighbour mean) [rice sample],spatial blocks,unweighted,531,0,9.1143,0.2433,10.4183,0.0113,215 test cells had no training neighbour
spatial null (queen neighbour mean) [rice sample],spatial blocks,by sounding count,531,0,2.4447,0.7164,3.9756,0.25,215 test cells had no training neighbour
OLS impervious_fraction [rice sample],leave-one-province-out,unweighted,531,0,10.3912,0.0165,11.2554,-0.1539,intercept +1879.5975; impervious_fraction +9.5538
OLS impervious_fraction [rice sample],leave-one-province-out,by sounding count,531,0,4.5877,0.0012,6.4195,-0.9556,intercept +1882.5208; impervious_fraction -1.4191
OLS impervious_fraction [rice sample],spatial blocks,unweighted,531,0,10.3912,0.0165,10.5078,-0.0057,intercept +1879.5975; impervious_fraction +9.5538
OLS impervious_fraction [rice sample],spatial blocks,by sounding count,531,0,4.5877,0.0012,4.7885,-0.0881,intercept +1882.5208; impervious_fraction -1.4191
OLS rice_fraction_single,leave-one-province-out,unweighted,531,395,10.3673,0.021,10.8936,-0.0809,intercept +1879.1220; rice_fraction_single +12.1395
OLS rice_fraction_single,leave-one-province-out,by sounding count,531,395,4.569,0.0093,5.8884,-0.6454,intercept +1882.9944; rice_fraction_single -3.4778
OLS rice_fraction_single,spatial blocks,unweighted,531,395,10.3673,0.021,10.5232,-0.0087,intercept +1879.1220; rice_fraction_single +12.1395
OLS rice_fraction_single,spatial blocks,by sounding count,531,395,4.569,0.0093,4.7629,-0.0765,intercept +1882.9944; rice_fraction_single -3.4778
