model,scheme,weighting,n,dropped_missing,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,detail
constant (global mean),leave-one-province-out,unweighted,926,0,13.2559,0.0,14.412,-0.182,
constant (global mean),leave-one-province-out,by sounding count,926,0,6.9227,0.0,7.3127,-0.1159,
constant (global mean),spatial blocks,unweighted,926,0,13.2559,0.0,13.3125,-0.0086,
constant (global mean),spatial blocks,by sounding count,926,0,6.9227,0.0,6.9463,-0.0068,
constant (per province),leave-one-province-out,unweighted,926,0,12.2885,0.1406,14.412,-0.182,groups: 5
constant (per province),leave-one-province-out,by sounding count,926,0,6.5791,0.0968,7.3127,-0.1159,groups: 5
constant (per province),spatial blocks,unweighted,926,0,12.2885,0.1406,12.4842,0.113,groups: 5
constant (per province),spatial blocks,by sounding count,926,0,6.5791,0.0968,6.6297,0.0829,groups: 5
spatial null (queen neighbour mean),leave-one-province-out,unweighted,926,0,7.2735,0.6989,13.9647,-0.1098,601 test cells had no training neighbour
spatial null (queen neighbour mean),leave-one-province-out,by sounding count,926,0,2.4459,0.8752,7.0385,-0.0337,601 test cells had no training neighbour
spatial null (queen neighbour mean),spatial blocks,unweighted,926,0,7.2735,0.6989,10.7903,0.3374,349 test cells had no training neighbour
spatial null (queen neighbour mean),spatial blocks,by sounding count,926,0,2.4459,0.8752,4.8081,0.5176,349 test cells had no training neighbour
OLS impervious_fraction,leave-one-province-out,unweighted,926,0,12.3963,0.1255,13.9271,-0.1038,intercept +1885.3014; impervious_fraction +37.5776
OLS impervious_fraction,leave-one-province-out,by sounding count,926,0,6.754,0.0481,7.523,-0.181,intercept +1890.7779; impervious_fraction +14.5191
OLS impervious_fraction,spatial blocks,unweighted,926,0,12.3963,0.1255,12.6081,0.0953,intercept +1885.3014; impervious_fraction +37.5776
OLS impervious_fraction,spatial blocks,by sounding count,926,0,6.754,0.0481,6.8234,0.0285,intercept +1890.7779; impervious_fraction +14.5191
constant (global mean) [rice sample],leave-one-province-out,unweighted,531,0,9.0367,0.0,9.0802,-0.0096,
constant (global mean) [rice sample],leave-one-province-out,by sounding count,531,0,4.274,0.0,5.0676,-0.4058,
constant (global mean) [rice sample],spatial blocks,unweighted,531,0,9.0367,0.0,9.2227,-0.0416,
constant (global mean) [rice sample],spatial blocks,by sounding count,531,0,4.274,0.0,4.4543,-0.0861,
constant (per province) [rice sample],leave-one-province-out,unweighted,531,0,8.9651,0.0158,9.0802,-0.0096,groups: 5
constant (per province) [rice sample],leave-one-province-out,by sounding count,531,0,3.7854,0.2156,5.0676,-0.4058,groups: 5
constant (per province) [rice sample],spatial blocks,unweighted,531,0,8.9651,0.0158,9.3075,-0.0608,groups: 5
constant (per province) [rice sample],spatial blocks,by sounding count,531,0,3.7854,0.2156,4.0612,0.0971,groups: 5
spatial null (queen neighbour mean) [rice sample],leave-one-province-out,unweighted,531,0,7.4802,0.3148,9.0205,0.0036,411 test cells had no training neighbour
spatial null (queen neighbour mean) [rice sample],leave-one-province-out,by sounding count,531,0,2.4045,0.6835,4.9986,-0.3678,411 test cells had no training neighbour
spatial null (queen neighbour mean) [rice sample],spatial blocks,unweighted,531,0,7.4802,0.3148,9.3173,-0.0631,215 test cells had no training neighbour
spatial null (queen neighbour mean) [rice sample],spatial blocks,by sounding count,531,0,2.4045,0.6835,3.8781,0.1767,215 test cells had no training neighbour
OLS impervious_fraction [rice sample],leave-one-province-out,unweighted,531,0,8.7351,0.0656,9.2546,-0.0488,intercept +1890.5969; impervious_fraction +16.4523
OLS impervious_fraction [rice sample],leave-one-province-out,by sounding count,531,0,4.196,0.0362,5.9238,-0.921,intercept +1892.3327; impervious_fraction +7.1694
OLS impervious_fraction [rice sample],spatial blocks,unweighted,531,0,8.7351,0.0656,8.8851,0.0333,intercept +1890.5969; impervious_fraction +16.4523
OLS impervious_fraction [rice sample],spatial blocks,by sounding count,531,0,4.196,0.0362,4.411,-0.0651,intercept +1892.3327; impervious_fraction +7.1694
OLS rice_fraction_single,leave-one-province-out,unweighted,531,395,8.9994,0.0082,9.4295,-0.0888,intercept +1891.9152; rice_fraction_single +6.5610
OLS rice_fraction_single,leave-one-province-out,by sounding count,531,395,4.2604,0.0064,5.2262,-0.4952,intercept +1893.9079; rice_fraction_single -2.6741
OLS rice_fraction_single,spatial blocks,unweighted,531,395,8.9994,0.0082,9.2086,-0.0384,intercept +1891.9152; rice_fraction_single +6.5610
OLS rice_fraction_single,spatial blocks,by sounding count,531,395,4.2604,0.0064,4.4779,-0.0977,intercept +1893.9079; rice_fraction_single -2.6741
OLS rice_fraction_combined,leave-one-province-out,unweighted,531,395,8.9996,0.0082,9.3927,-0.0803,intercept +1891.8827; rice_fraction_combined +6.4351
OLS rice_fraction_combined,leave-one-province-out,by sounding count,531,395,4.2649,0.0043,5.2241,-0.494,intercept +1893.8191; rice_fraction_combined -2.1414
OLS rice_fraction_combined,spatial blocks,unweighted,531,395,8.9996,0.0082,9.2068,-0.038,intercept +1891.8827; rice_fraction_combined +6.4351
OLS rice_fraction_combined,spatial blocks,by sounding count,531,395,4.2649,0.0043,4.4908,-0.104,intercept +1893.8191; rice_fraction_combined -2.1414
OLS impervious_fraction + rice_fraction_single,leave-one-province-out,unweighted,531,395,8.7031,0.0725,9.6367,-0.1372,intercept +1889.7300; impervious_fraction +16.2831; rice_fraction_single +5.9775
OLS impervious_fraction + rice_fraction_single,leave-one-province-out,by sounding count,531,395,4.1881,0.0398,6.0599,-1.0103,intercept +1892.7664; impervious_fraction +6.9316; rice_fraction_single -2.0351
OLS impervious_fraction + rice_fraction_single,spatial blocks,unweighted,531,395,8.7031,0.0725,8.8869,0.0329,intercept +1889.7300; impervious_fraction +16.2831; rice_fraction_single +5.9775
OLS impervious_fraction + rice_fraction_single,spatial blocks,by sounding count,531,395,4.1881,0.0398,4.4504,-0.0842,intercept +1892.7664; impervious_fraction +6.9316; rice_fraction_single -2.0351
OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,unweighted,531,395,8.6099,0.0922,9.38,-0.0774,intercept +1888.8157; impervious_fraction +25.8996; rice_fraction_single +18.0920; impervious_fraction x rice_fraction_single -104.5681
OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,by sounding count,531,395,4.1004,0.0796,5.8791,-0.8921,intercept +1891.5506; impervious_fraction +16.9390; rice_fraction_single +7.1093; impervious_fraction x rice_fraction_single -75.0414
OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,unweighted,531,395,8.6099,0.0922,8.7884,0.0542,intercept +1888.8157; impervious_fraction +25.8996; rice_fraction_single +18.0920; impervious_fraction x rice_fraction_single -104.5681
OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,by sounding count,531,395,4.1004,0.0796,4.3394,-0.0308,intercept +1891.5506; impervious_fraction +16.9390; rice_fraction_single +7.1093; impervious_fraction x rice_fraction_single -75.0414
"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,926,0,11.6147,0.2323,15.262,-0.3256,intercept +2230.7284; centre_lat -0.8084; centre_lon -2.6680
"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,926,0,6.0101,0.2463,7.265,-0.1013,intercept +2115.0309; centre_lat -0.7121; centre_lon -1.6965
"OLS trend surface (lat, lon)",spatial blocks,unweighted,926,0,11.6147,0.2323,11.8028,0.2072,intercept +2230.7284; centre_lat -0.8084; centre_lon -2.6680
"OLS trend surface (lat, lon)",spatial blocks,by sounding count,926,0,6.0101,0.2463,6.0873,0.2268,intercept +2115.0309; centre_lat -0.7121; centre_lon -1.6965
"OLS wind (u, v, speed)",leave-one-province-out,unweighted,926,0,7.7054,0.6621,8.195,0.6178,intercept +1890.7147; wind_u +3.2520; wind_v -2.7994; wind_speed -0.5041
"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,926,0,4.419,0.5925,6.1513,0.2104,intercept +1893.2995; wind_u +0.6648; wind_v -2.9148; wind_speed -2.1231
"OLS wind (u, v, speed)",spatial blocks,unweighted,926,0,7.7054,0.6621,7.8341,0.6507,intercept +1890.7147; wind_u +3.2520; wind_v -2.7994; wind_speed -0.5041
"OLS wind (u, v, speed)",spatial blocks,by sounding count,926,0,4.419,0.5925,4.5997,0.5585,intercept +1893.2995; wind_u +0.6648; wind_v -2.9148; wind_speed -2.1231
OLS albedo (SWIR),leave-one-province-out,unweighted,926,0,9.7487,0.4592,11.3172,0.2711,intercept +1877.8685; surface_albedo_SWIR +172.4677
OLS albedo (SWIR),leave-one-province-out,by sounding count,926,0,5.7456,0.3112,6.7895,0.0381,intercept +1882.1896; surface_albedo_SWIR +106.4512
OLS albedo (SWIR),spatial blocks,unweighted,926,0,9.7487,0.4592,9.8728,0.4453,intercept +1877.8685; surface_albedo_SWIR +172.4677
OLS albedo (SWIR),spatial blocks,by sounding count,926,0,5.7456,0.3112,5.9292,0.2664,intercept +1882.1896; surface_albedo_SWIR +106.4512
OLS wind + impervious,leave-one-province-out,unweighted,926,0,7.6728,0.665,8.3176,0.6063,intercept +1890.0318; wind_u +2.9598; wind_v -2.7874; wind_speed -0.5239; impervious_fraction +6.3958
