field,model,radius_km,cells_predicted,cells_dropped,median_training_cells,held_out_r2,rmse_ppb,r2_above_constant
operational,spatial null (queen neighbour mean),0,926,0,925,0.6847,8.342,+0.6869
operational,spatial null (queen neighbour mean),25,926,0,923,0.6639,8.613,+0.6688
operational,spatial null (queen neighbour mean),50,926,0,915,-0.0151,14.969,+0.0000
operational,spatial null (queen neighbour mean),75,926,0,900,-0.0328,15.098,+0.0000
operational,spatial null (queen neighbour mean),100,926,0,882,-0.0493,15.218,+0.0000
operational,spatial null (queen neighbour mean),150,926,0,834,-0.0840,15.468,+0.0000
operational,spatial null (queen neighbour mean),200,926,0,784,-0.1118,15.666,+0.0000
operational,spatial null (queen neighbour mean),300,926,0,652,-0.1654,16.039,+0.0000
operational,spatial null (queen neighbour mean),400,926,0,499,-0.2466,16.588,+0.0000
operational,spatial null (queen neighbour mean),500,926,0,349,-0.4073,17.625,+0.0000
operational,OLS impervious fraction,0,926,0,925,0.1154,13.973,+0.1176
operational,OLS impervious fraction,25,926,0,923,0.1109,14.009,+0.1158
operational,OLS impervious fraction,50,926,0,915,0.0954,14.131,+0.1105
operational,OLS impervious fraction,75,926,0,900,0.0688,14.337,+0.1016
operational,OLS impervious fraction,100,926,0,882,0.0394,14.561,+0.0887
operational,OLS impervious fraction,150,926,0,834,-0.0213,15.014,+0.0627
operational,OLS impervious fraction,200,926,0,784,-0.0704,15.371,+0.0414
operational,OLS impervious fraction,300,926,0,652,-0.1580,15.988,+0.0074
operational,OLS impervious fraction,400,926,0,499,-0.2761,16.783,-0.0295
operational,OLS impervious fraction,500,926,0,349,-0.4710,18.019,-0.0637
operational,constant (training mean),0,926,0,925,-0.0022,14.873,+0.0000
operational,constant (training mean),25,926,0,923,-0.0049,14.893,+0.0000
operational,constant (training mean),50,926,0,915,-0.0151,14.969,+0.0000
operational,constant (training mean),75,926,0,900,-0.0328,15.098,+0.0000
operational,constant (training mean),100,926,0,882,-0.0493,15.218,+0.0000
operational,constant (training mean),150,926,0,834,-0.0840,15.468,+0.0000
operational,constant (training mean),200,926,0,784,-0.1118,15.666,+0.0000
operational,constant (training mean),300,926,0,652,-0.1654,16.039,+0.0000
operational,constant (training mean),400,926,0,499,-0.2466,16.588,+0.0000
operational,constant (training mean),500,926,0,349,-0.4073,17.625,+0.0000
blended,spatial null (queen neighbour mean),0,926,0,925,0.7514,7.928,+0.7536
blended,spatial null (queen neighbour mean),25,926,0,923,0.7371,8.153,+0.7422
blended,spatial null (queen neighbour mean),50,926,0,915,-0.0163,16.031,+0.0000
blended,spatial null (queen neighbour mean),75,926,0,900,-0.0365,16.190,+0.0000
blended,spatial null (queen neighbour mean),100,926,0,882,-0.0560,16.341,+0.0000
blended,spatial null (queen neighbour mean),150,926,0,834,-0.0991,16.671,+0.0000
blended,spatial null (queen neighbour mean),200,926,0,784,-0.1378,16.962,+0.0000
blended,spatial null (queen neighbour mean),300,926,0,652,-0.2210,17.572,+0.0000
blended,spatial null (queen neighbour mean),400,926,0,499,-0.3427,18.426,+0.0000
blended,spatial null (queen neighbour mean),500,926,0,349,-0.5488,19.790,+0.0000
blended,OLS impervious fraction,0,926,0,925,0.0956,15.123,+0.0978
blended,OLS impervious fraction,25,926,0,923,0.0905,15.165,+0.0956
blended,OLS impervious fraction,50,926,0,915,0.0726,15.313,+0.0889
blended,OLS impervious fraction,75,926,0,900,0.0413,15.570,+0.0778
blended,OLS impervious fraction,100,926,0,882,0.0058,15.855,+0.0618
blended,OLS impervious fraction,150,926,0,834,-0.0714,16.460,+0.0277
blended,OLS impervious fraction,200,926,0,784,-0.1383,16.966,-0.0005
blended,OLS impervious fraction,300,926,0,652,-0.2605,17.853,-0.0395
blended,OLS impervious fraction,400,926,0,499,-0.4050,18.849,-0.0623
blended,OLS impervious fraction,500,926,0,349,-0.6055,20.149,-0.0567
blended,constant (training mean),0,926,0,925,-0.0022,15.919,+0.0000
blended,constant (training mean),25,926,0,923,-0.0051,15.942,+0.0000
blended,constant (training mean),50,926,0,915,-0.0163,16.031,+0.0000
blended,constant (training mean),75,926,0,900,-0.0365,16.190,+0.0000
blended,constant (training mean),100,926,0,882,-0.0560,16.341,+0.0000
blended,constant (training mean),150,926,0,834,-0.0991,16.671,+0.0000
blended,constant (training mean),200,926,0,784,-0.1378,16.962,+0.0000
blended,constant (training mean),300,926,0,652,-0.2210,17.572,+0.0000
blended,constant (training mean),400,926,0,499,-0.3427,18.426,+0.0000
blended,constant (training mean),500,926,0,349,-0.5488,19.790,+0.0000
