centre_lat,centre_lon,sounding_count,in_box_prefilter,in_box_retrieved,months_observed,ch4_bias_corrected_ppb,within_cell_sd_ppb,weight_by_count,weight_representativeness
35.0750,114.9250,104,2052,329,8,1900.54,17.888,104,0.00304829
35.0750,115.1750,330,2038,501,8,1895.63,18.998,330,0.00275117
35.0750,115.4250,340,2047,510,8,1894.50,17.316,340,0.00330795
35.0750,115.6750,375,2031,531,8,1894.55,18.112,375,0.00302767
35.0750,115.9250,384,2094,535,8,1893.53,19.179,384,0.00270242
35.0750,116.1750,398,2062,549,8,1891.98,18.574,398,0.00288107
35.0750,116.4250,352,2054,601,8,1892.81,20.606,352,0.00234188
35.0750,116.6750,116,2022,467,7,1891.25,21.078,116,0.00221463
35.0750,116.9250,164,2065,463,8,1891.81,21.042,164,0.00223266
35.0750,117.1750,293,2047,519,7,1889.44,17.171,293,0.00335884
35.0750,117.4250,336,2024,513,8,1886.36,15.578,336,0.00407875
35.0750,117.6750,298,2136,556,7,1884.73,16.882,298,0.00347427
35.0750,117.9250,277,2043,546,7,1887.05,16.586,277,0.00359526
35.0750,118.1750,310,2051,521,7,1888.68,15.549,310,0.00409037
35.0750,118.4250,154,2029,442,7,1887.74,17.164,154,0.00333276
35.0750,118.6750,379,2035,555,8,1885.80,15.178,379,0.00429942
35.0750,118.9250,304,2090,519,8,1886.35,14.553,304,0.00466109
35.0750,119.1750,133,2096,411,9,1887.93,13.721,133,0.00513903
35.0750,119.4250,3,2029,38,2,1872.93,2.205,3,0.00350639
35.0750,119.6750,38,2055,53,3,1876.20,12.808,38,0.00537110
35.0750,119.9250,53,2070,128,5,1876.71,19.547,53,0.00251290
35.0750,120.1750,46,2034,55,4,1871.17,9.367,46,0.00943166
35.0750,120.4250,46,2071,64,4,1877.80,22.861,46,0.00184876
35.0750,120.6750,56,2086,78,4,1881.85,30.613,56,0.00105024
35.0750,120.9250,40,2089,66,4,1877.27,23.278,40,0.00177660
35.0750,121.1750,41,2066,51,3,1871.28,15.521,41,0.00382535
35.0750,121.4250,48,2048,58,4,1868.30,12.182,48,0.00602735
35.0750,121.6750,58,2065,72,5,1861.68,12.572,58,0.00579498
35.0750,121.9250,64,2051,78,5,1856.19,11.864,64,0.00649790
35.0750,122.1750,57,2052,66,3,1856.54,15.609,57,0.00387003
35.0750,122.4250,44,2149,61,3,1860.64,15.099,44,0.00404717
34.8250,114.9250,268,2035,467,8,1895.42,19.123,268,0.00271120
34.8250,115.1750,325,2067,510,8,1895.45,18.866,325,0.00278923
34.8250,115.4250,280,2049,536,8,1895.91,20.180,280,0.00243762
