field,predictor,weighting,n,effective_n,pearson_r,slope_ppb_per_unit,ci90_low,ci90_high,bound_comparative,verdict_comparative,bound_precision,verdict_precision
operational,impervious_fraction,unweighted,926,56.4,+0.3452,+41.04,+0.1340,+0.5264,0.5765,within the bounds: evidence of no meaningful effect,0.3657,spans a bound: cannot distinguish a meaningful effect from none
operational,impervious_fraction,by sounding count,926,56.4,+0.2124,+15.70,-0.0095,+0.4143,0.5765,within the bounds: evidence of no meaningful effect,0.3657,spans a bound: cannot distinguish a meaningful effect from none
operational,impervious_fraction,by representativeness,905,51.7,+0.4439,+57.57,+0.2367,+0.6125,0.5765,spans a bound: cannot distinguish a meaningful effect from none,0.3814,spans a bound: cannot distinguish a meaningful effect from none
operational,rice_fraction_single,unweighted,531,122.3,+0.0960,+8.26,-0.0543,+0.2420,0.5765,within the bounds: evidence of no meaningful effect,0.2511,within the bounds: evidence of no meaningful effect
operational,rice_fraction_single,by sounding count,531,122.3,-0.0882,-3.20,-0.2346,+0.0621,0.5765,within the bounds: evidence of no meaningful effect,0.2511,within the bounds: evidence of no meaningful effect
operational,rice_fraction_single,by representativeness,515,93.6,+0.0826,+6.01,-0.0898,+0.2502,0.5765,within the bounds: evidence of no meaningful effect,0.2862,within the bounds: evidence of no meaningful effect
operational,rice_fraction_combined,unweighted,531,126.7,+0.0938,+7.94,-0.0538,+0.2374,0.5765,within the bounds: evidence of no meaningful effect,0.2467,within the bounds: evidence of no meaningful effect
operational,rice_fraction_combined,by sounding count,531,126.7,-0.0814,-2.89,-0.2255,+0.0662,0.5765,within the bounds: evidence of no meaningful effect,0.2467,within the bounds: evidence of no meaningful effect
operational,rice_fraction_combined,by representativeness,515,96.3,+0.0832,+5.94,-0.0867,+0.2484,0.5765,within the bounds: evidence of no meaningful effect,0.2822,within the bounds: evidence of no meaningful effect
raw,impervious_fraction,unweighted,926,58.6,+0.4398,+50.66,+0.2463,+0.5995,0.5765,spans a bound: cannot distinguish a meaningful effect from none,0.3589,spans a bound: cannot distinguish a meaningful effect from none
raw,impervious_fraction,by sounding count,926,58.6,+0.3259,+25.73,+0.1172,+0.5070,0.5765,within the bounds: evidence of no meaningful effect,0.3589,spans a bound: cannot distinguish a meaningful effect from none
raw,impervious_fraction,by representativeness,905,51.9,+0.5216,+62.74,+0.3305,+0.6716,0.5765,spans a bound: cannot distinguish a meaningful effect from none,0.3803,spans a bound: cannot distinguish a meaningful effect from none
raw,rice_fraction_single,unweighted,531,80.5,+0.1891,+18.10,+0.0046,+0.3612,0.5765,within the bounds: evidence of no meaningful effect,0.3080,spans a bound: cannot distinguish a meaningful effect from none
raw,rice_fraction_single,by sounding count,531,80.5,-0.1287,-5.90,-0.3061,+0.0574,0.5765,within the bounds: evidence of no meaningful effect,0.3080,within the bounds: evidence of no meaningful effect
raw,rice_fraction_single,by representativeness,515,70.2,+0.1517,+12.00,-0.0478,+0.3395,0.5765,within the bounds: evidence of no meaningful effect,0.3291,spans a bound: cannot distinguish a meaningful effect from none
raw,rice_fraction_combined,unweighted,531,89.3,+0.1792,+16.87,+0.0041,+0.3436,0.5765,within the bounds: evidence of no meaningful effect,0.2928,spans a bound: cannot distinguish a meaningful effect from none
raw,rice_fraction_combined,by sounding count,531,89.3,-0.1485,-6.67,-0.3155,+0.0275,0.5765,within the bounds: evidence of no meaningful effect,0.2928,spans a bound: cannot distinguish a meaningful effect from none
raw,rice_fraction_combined,by representativeness,515,74.6,+0.1397,+10.85,-0.0537,+0.3230,0.5765,within the bounds: evidence of no meaningful effect,0.3195,spans a bound: cannot distinguish a meaningful effect from none
blended,impervious_fraction,unweighted,926,48.1,+0.3154,+40.14,+0.0815,+0.5164,0.5765,within the bounds: evidence of no meaningful effect,0.3945,spans a bound: cannot distinguish a meaningful effect from none
blended,impervious_fraction,by sounding count,926,48.1,+0.1359,+11.14,-0.1078,+0.3641,0.5765,within the bounds: evidence of no meaningful effect,0.3945,within the bounds: evidence of no meaningful effect
blended,impervious_fraction,by representativeness,905,45.2,+0.4160,+61.22,+0.1874,+0.6019,0.5765,spans a bound: cannot distinguish a meaningful effect from none,0.4064,spans a bound: cannot distinguish a meaningful effect from none
blended,rice_fraction_single,unweighted,531,78.8,+0.1449,+12.14,-0.0430,+0.3229,0.5765,within the bounds: evidence of no meaningful effect,0.3112,spans a bound: cannot distinguish a meaningful effect from none
blended,rice_fraction_single,by sounding count,531,78.8,-0.0967,-3.48,-0.2784,+0.0917,0.5765,within the bounds: evidence of no meaningful effect,0.3112,within the bounds: evidence of no meaningful effect
blended,rice_fraction_single,by representativeness,515,82.7,+0.1327,+9.46,-0.0507,+0.3075,0.5765,within the bounds: evidence of no meaningful effect,0.3039,spans a bound: cannot distinguish a meaningful effect from none
blended,rice_fraction_combined,unweighted,531,89.2,+0.1366,+11.26,-0.0397,+0.3047,0.5765,within the bounds: evidence of no meaningful effect,0.2930,spans a bound: cannot distinguish a meaningful effect from none
blended,rice_fraction_combined,by sounding count,531,89.2,-0.1002,-3.53,-0.2708,+0.0765,0.5765,within the bounds: evidence of no meaningful effect,0.2930,within the bounds: evidence of no meaningful effect
blended,rice_fraction_combined,by representativeness,515,89.9,+0.1293,+9.05,-0.0464,+0.2972,0.5765,within the bounds: evidence of no meaningful effect,0.2918,spans a bound: cannot distinguish a meaningful effect from none
deseasonalised,impervious_fraction,unweighted,926,55.0,+0.3542,+37.58,+0.1413,+0.5359,0.5765,within the bounds: evidence of no meaningful effect,0.3700,spans a bound: cannot distinguish a meaningful effect from none
deseasonalised,impervious_fraction,by sounding count,926,55.0,+0.2194,+14.52,-0.0050,+0.4228,0.5765,within the bounds: evidence of no meaningful effect,0.3700,spans a bound: cannot distinguish a meaningful effect from none
deseasonalised,impervious_fraction,by representativeness,905,50.2,+0.4436,+53.30,+0.2330,+0.6145,0.5765,spans a bound: cannot distinguish a meaningful effect from none,0.3865,spans a bound: cannot distinguish a meaningful effect from none
deseasonalised,rice_fraction_single,unweighted,531,91.8,+0.0908,+6.56,-0.0833,+0.2595,0.5765,within the bounds: evidence of no meaningful effect,0.2888,within the bounds: evidence of no meaningful effect
deseasonalised,rice_fraction_single,by sounding count,531,91.8,-0.0798,-2.67,-0.2492,+0.0942,0.5765,within the bounds: evidence of no meaningful effect,0.2888,within the bounds: evidence of no meaningful effect
