granule,acquired,pixel_size,soundings_read,soundings_valid_global,in_box_total,in_box_retrieved,in_box_passed,no_retrieval_share,threshold_rejected_share
S5P_RPRO_L2__CH4____20180430T034250_20180430T052420_02820_03_020400_20221107T155112.nc,2018-04-30T03:42:50,7.0x7.0 km2,697675,43860,5617,426,273,0.924159,0.359155
S5P_RPRO_L2__CH4____20180430T052420_20180430T070550_02821_03_020400_20221107T155135.nc,2018-04-30T05:24:20,7.0x7.0 km2,697675,24587,753,0,0,1.000000,
S5P_RPRO_L2__CH4____20180501T032352_20180501T050523_02834_03_020400_20221107T155313.nc,2018-05-01T03:23:52,7.0x7.0 km2,697890,11319,2235,1,0,0.999553,1.000000
S5P_RPRO_L2__CH4____20180501T050523_20180501T064653_02835_03_020400_20221107T155315.nc,2018-05-01T05:05:23,7.0x7.0 km2,697890,26838,3840,4,0,0.998958,1.000000
S5P_RPRO_L2__CH4____20180502T030455_20180502T044625_02848_03_020400_20221107T155512.nc,2018-05-02T03:04:55,7.0x7.0 km2,624575,11775,192,0,0,1.000000,
S5P_RPRO_L2__CH4____20180502T044625_20180502T062755_02849_03_020400_20221107T155514.nc,2018-05-02T04:46:25,7.0x7.0 km2,697675,31583,7903,189,4,0.976085,0.978836
S5P_RPRO_L2__CH4____20180502T062755_20180502T080925_02850_03_020400_20221107T155516.nc,2018-05-02T06:27:55,7.0x7.0 km2,697675,11972,0,0,0,,
S5P_RPRO_L2__CH4____20180503T024557_20180503T042727_02862_03_020400_20221107T155656.nc,2018-05-03T02:45:57,7.0x7.0 km2,697675,17406,0,0,0,,
S5P_RPRO_L2__CH4____20180503T042727_20180503T060857_02863_03_020400_20221107T155718.nc,2018-05-03T04:27:27,7.0x7.0 km2,624575,40264,11762,3658,2423,0.688998,0.337616
S5P_RPRO_L2__CH4____20180503T060857_20180503T075028_02864_03_020400_20221107T155719.nc,2018-05-03T06:08:57,7.0x7.0 km2,697675,13346,0,0,0,,
S5P_RPRO_L2__CH4____20180504T040830_20180504T055000_02877_03_020400_20221107T185945.nc,2018-05-04T04:08:30,7.0x7.0 km2,697890,42557,11051,1226,379,0.889060,0.690865
S5P_RPRO_L2__CH4____20180504T055000_20180504T073130_02878_03_020400_20221107T185946.nc,2018-05-04T05:50:00,7.0x7.0 km2,624575,18731,0,0,0,,
S5P_RPRO_L2__CH4____20180505T034932_20180505T053102_02891_03_020400_20221107T205041.nc,2018-05-05T03:49:32,7.0x7.0 km2,697675,53606,6860,0,0,1.000000,
S5P_RPRO_L2__CH4____20180505T053102_20180505T071232_02892_03_020400_20221107T205042.nc,2018-05-05T05:31:02,7.0x7.0 km2,697675,35939,115,0,0,1.000000,
