centre_lat,centre_lon,impervious_fraction,impervious_coverage
35.075,114.925,0.099521,0.9996
35.075,115.175,0.168,1.0007
35.075,115.425,0.171425,1.0007
35.075,115.675,0.165119,0.9996
35.075,115.925,0.151591,1.0007
35.075,116.175,0.171845,1.0007
35.075,116.425,0.158311,0.9996
35.075,116.675,0.112495,1.0007
35.075,116.925,0.144405,1.0007
35.075,117.175,0.299339,0.9996
35.075,117.425,0.104682,1.0007
35.075,117.675,0.038397,1.0007
35.075,117.925,0.067447,0.9996
35.075,118.175,0.463264,1.0007
35.075,118.425,0.514106,1.0007
35.075,118.675,0.152942,0.9996
35.075,118.925,0.141789,1.0007
35.075,119.175,0.233403,1.0007
35.075,119.425,0.108675,0.9996
35.075,119.675,0.0,1.0007
35.075,119.925,0.000312,0.9996
35.075,120.175,0.0,1.0007
35.075,120.425,0.0,1.0007
35.075,120.675,0.0,0.9996
35.075,120.925,0.0,1.0007
35.075,121.175,0.0,1.0007
35.075,121.425,0.0,0.9996
35.075,121.675,0.0,1.0007
35.075,121.925,0.0,1.0007
35.075,122.175,0.0,0.9996
35.075,122.425,0.0,1.0007
34.825,114.925,0.15281,0.9986
34.825,115.175,0.105284,0.9996
34.825,115.425,0.15009,0.9996
34.825,115.675,0.158796,0.9986
34.825,115.925,0.126649,0.9996
34.825,116.175,0.169545,0.9996
34.825,116.425,0.141071,0.9986
34.825,116.675,0.198009,0.9996
34.825,116.925,0.249389,0.9996
34.825,117.175,0.260504,0.9986
34.825,117.425,0.248963,0.9996
34.825,117.675,0.246225,0.9996
34.825,117.925,0.210884,0.9986
34.825,118.175,0.25164,0.9996
34.825,118.425,0.18132,0.9996
34.825,118.675,0.175573,0.9986
34.825,118.925,0.162496,0.9996
34.825,119.175,0.235981,0.9996
34.825,119.425,0.086639,0.9986
34.825,119.675,0.0,0.9996
34.825,119.925,0.0,0.9986
34.825,120.175,0.0,0.9996
34.825,120.425,0.0,0.9996
34.825,120.675,0.0,0.9986
34.825,120.925,0.0,0.9996
34.825,121.175,0.0,0.9996
34.825,121.425,0.0,0.9986
34.825,121.675,0.0,0.9996
34.825,121.925,0.0,0.9996
34.825,122.175,0.0,0.9986
34.825,122.425,0.0,0.9996
34.575,114.925,0.092029,0.9996
34.575,115.175,0.153772,1.0007
34.575,115.425,0.11088,1.0007
34.575,115.675,0.174036,0.9996
34.575,115.925,0.123678,1.0007
34.575,116.175,0.093796,1.0007
34.575,116.425,0.101563,0.9996
34.575,116.675,0.176322,1.0007
34.575,116.925,0.179262,1.0007
34.575,117.175,0.0709,0.9996
34.575,117.425,0.175557,1.0007
34.575,117.675,0.154396,1.0007
34.575,117.925,0.142341,0.9996
34.575,118.175,0.16073,1.0007
34.575,118.425,0.160373,1.0007
34.575,118.675,0.158802,0.9996
34.575,118.925,0.131441,1.0007
34.575,119.175,0.29406,1.0007
34.575,119.425,0.18438,0.9996
34.575,119.675,0.103326,1.0007
34.575,119.925,0.003867,0.9996
34.575,120.175,0.0,1.0007
34.575,120.425,0.0,1.0007
34.575,120.675,0.0,0.9996
34.575,120.925,0.0,1.0007
34.575,121.175,0.0,1.0007
34.575,121.425,0.0,0.9996
34.575,121.675,0.0,1.0007
34.575,121.925,0.0,1.0007
34.575,122.175,0.0,0.9996
34.575,122.425,0.0,1.0007
34.325,114.925,0.143136,0.9996
34.325,115.175,0.175222,1.0007
34.325,115.425,0.147606,1.0007
34.325,115.675,0.306906,0.9996
34.325,115.925,0.185841,1.0007
34.325,116.175,0.175368,1.0007
34.325,116.425,0.159547,0.9996
34.325,116.675,0.156119,1.0007
34.325,116.925,0.192447,1.0007
34.325,117.175,0.492978,0.9996
34.325,117.425,0.303501,1.0007
34.325,117.675,0.174473,1.0007
34.325,117.925,0.23963,0.9996
34.325,118.175,0.153371,1.0007
34.325,118.425,0.197108,1.0007
34.325,118.675,0.153482,0.9996
