centre_lat,centre_lon,sounding_count,ch4_blended_ppb
35.0750,114.9250,104,1892.18
35.0750,115.1750,330,1885.84
35.0750,115.4250,340,1885.08
35.0750,115.6750,375,1885.67
35.0750,115.9250,384,1884.67
35.0750,116.1750,398,1882.14
35.0750,116.4250,352,1885.53
35.0750,116.6750,116,1887.00
35.0750,116.9250,164,1879.79
35.0750,117.1750,293,1877.12
35.0750,117.4250,336,1873.63
35.0750,117.6750,298,1872.58
35.0750,117.9250,277,1874.15
35.0750,118.1750,310,1874.25
35.0750,118.4250,154,1873.30
35.0750,118.6750,379,1870.95
35.0750,118.9250,304,1870.23
35.0750,119.1750,133,1871.17
35.0750,119.4250,3,1853.05
35.0750,119.6750,38,1861.33
35.0750,119.9250,53,1861.68
35.0750,120.1750,46,1853.75
35.0750,120.4250,46,1864.06
35.0750,120.6750,56,1868.95
35.0750,120.9250,40,1862.17
35.0750,121.1750,41,1852.07
35.0750,121.4250,48,1851.13
35.0750,121.6750,58,1848.40
35.0750,121.9250,64,1846.04
35.0750,122.1750,57,1846.10
35.0750,122.4250,44,1847.21
34.8250,114.9250,268,1886.29
34.8250,115.1750,325,1886.10
34.8250,115.4250,280,1886.38
34.8250,115.6750,370,1886.93
34.8250,115.9250,362,1885.50
34.8250,116.1750,368,1885.82
34.8250,116.4250,410,1884.76
34.8250,116.6750,354,1884.76
34.8250,116.9250,169,1883.30
34.8250,117.1750,205,1880.14
34.8250,117.4250,332,1875.17
34.8250,117.6750,323,1879.64
34.8250,117.9250,342,1875.55
34.8250,118.1750,372,1877.18
34.8250,118.4250,287,1874.90
34.8250,118.6750,235,1872.32
34.8250,118.9250,161,1872.71
34.8250,119.1750,39,1875.57
34.8250,119.4250,2,1845.34
34.8250,119.6750,29,1854.35
34.8250,119.9250,44,1856.52
34.8250,120.1750,51,1858.39
34.8250,120.4250,46,1848.42
34.8250,120.6750,53,1863.03
34.8250,120.9250,45,1858.85
34.8250,121.1750,37,1846.46
34.8250,121.4250,40,1844.28
34.8250,121.6750,53,1843.42
34.8250,121.9250,49,1841.62
34.8250,122.1750,57,1842.27
34.8250,122.4250,52,1845.17
34.5750,114.9250,332,1886.63
34.5750,115.1750,246,1888.29
34.5750,115.4250,211,1890.02
34.5750,115.6750,296,1886.04
34.5750,115.9250,254,1889.67
34.5750,116.1750,365,1885.69
34.5750,116.4250,381,1883.30
34.5750,116.6750,347,1882.94
34.5750,116.9250,340,1884.25
34.5750,117.1750,81,1884.71
34.5750,117.4250,187,1878.22
34.5750,117.6750,381,1879.40
34.5750,117.9250,402,1878.49
34.5750,118.1750,367,1877.48
34.5750,118.4250,310,1875.95
34.5750,118.6750,231,1875.72
34.5750,118.9250,297,1873.40
34.5750,119.1750,224,1874.69
34.5750,119.4250,55,1875.54
34.5750,119.6750,2,1854.35
34.5750,119.9250,14,1863.25
34.5750,120.1750,18,1861.24
34.5750,120.4250,32,1854.24
34.5750,120.6750,32,1843.84
34.5750,120.9250,30,1846.00
34.5750,121.1750,16,1836.91
34.5750,121.4250,24,1838.00
34.5750,121.6750,42,1844.34
34.5750,121.9250,49,1843.08
34.5750,122.1750,56,1847.25
34.5750,122.4250,49,1847.80
34.3250,114.9250,304,1890.30
34.3250,115.1750,308,1890.33
34.3250,115.4250,343,1889.94
34.3250,115.6750,295,1890.29
34.3250,115.9250,351,1887.50
34.3250,116.1750,349,1889.19
34.3250,116.4250,382,1886.54
34.3250,116.6750,400,1886.37
34.3250,116.9250,366,1886.39
34.3250,117.1750,151,1880.34
34.3250,117.4250,249,1879.04
34.3250,117.6750,372,1878.83
34.3250,117.9250,271,1879.35
34.3250,118.1750,241,1879.64
34.3250,118.4250,283,1877.89
34.3250,118.6750,241,1877.32
34.3250,118.9250,326,1875.61
34.3250,119.1750,293,1876.84
34.3250,119.4250,253,1877.48
34.3250,119.6750,126,1877.11
34.3250,119.9250,71,1877.08
34.3250,120.1750,12,1884.66
34.3250,120.4250,10,1863.08
34.3250,120.6750,23,1848.48
34.3250,120.9250,14,1843.92
34.3250,121.1750,16,1838.46
34.3250,121.4250,20,1837.42
34.3250,121.6750,31,1841.05
34.3250,121.9250,47,1841.07
34.3250,122.1750,61,1845.16
34.3250,122.4250,65,1846.56
34.0750,114.9250,324,1888.03
34.0750,115.1750,328,1888.41
34.0750,115.4250,346,1889.13
34.0750,115.6750,368,1888.37
34.0750,115.9250,348,1885.67
34.0750,116.1750,348,1887.06
34.0750,116.4250,321,1890.01
34.0750,116.6750,325,1888.64
34.0750,116.9250,294,1885.27
34.0750,117.1750,294,1881.63
34.0750,117.4250,249,1884.58
