centre_lat,centre_lon,sounding_count,eastward_wind_mean,eastward_wind_count,northward_wind_mean,northward_wind_count,solar_zenith_angle_mean,solar_zenith_angle_count,surface_albedo_NIR_mean,surface_albedo_NIR_count,surface_albedo_SWIR_mean,surface_albedo_SWIR_count,surface_altitude_mean,surface_altitude_count,surface_pressure_mean,surface_pressure_count,xch4_apriori_mean,xch4_apriori_count,xch4_departure_mean,xch4_departure_count
35.0750,114.9250,104,0.515579,104,-0.19169,104,41.1,104,0.286413,104,0.127465,104,64.3084,104,101035,104,1870.31,104,30.2327,104
35.0750,115.1750,330,0.612738,330,0.0461903,330,42.1624,330,0.273854,330,0.153777,330,58.9919,330,101127,330,1867.44,330,28.1905,330
35.0750,115.4250,340,0.486218,340,-0.361097,340,42.4388,340,0.276815,340,0.144168,340,53.1689,340,101218,340,1867.33,340,27.1735,340
35.0750,115.6750,375,0.397809,375,-0.400986,375,41.3659,375,0.279699,375,0.137687,375,48.2101,375,101205,375,1867.35,375,27.1958,375
35.0750,115.9250,384,0.501283,384,-0.185867,384,40.2938,384,0.277946,384,0.139124,384,44.6678,384,101182,384,1866.64,384,26.8975,384
35.0750,116.1750,398,0.476486,398,-0.0802361,398,41.6345,398,0.270837,398,0.13752,398,39.4177,398,101336,398,1866.44,398,25.5457,398
35.0750,116.4250,352,0.411058,352,-0.675076,352,40.8549,352,0.261472,352,0.110963,352,35.5923,352,101431,352,1868.55,352,24.2645,352
35.0750,116.6750,116,0.438927,116,-1.29688,116,39.1242,116,0.248439,116,0.0787291,116,35.3966,116,101324,116,1872.52,116,18.7324,116
35.0750,116.9250,164,0.745114,164,-0.974245,164,41.5754,164,0.250219,164,0.117987,164,47.5779,164,101319,164,1868.18,164,23.6334,164
35.0750,117.1750,293,0.803225,293,-0.527471,293,41.3947,293,0.257013,293,0.135039,293,70.6981,293,100972,293,1865.97,293,23.4748,293
35.0750,117.4250,336,0.853531,336,-0.526197,336,41.8852,336,0.238345,336,0.126782,336,186.65,336,99618.3,336,1862.99,336,23.3713,336
35.0750,117.6750,298,0.719688,298,-0.970482,298,41.045,298,0.230696,298,0.116532,298,243.76,298,98963,298,1862.14,298,22.5976,298
35.0750,117.9250,277,0.760434,277,-1.09829,277,42.15,277,0.234763,277,0.132257,277,156.739,277,99943.8,277,1863.98,277,23.0688,277
35.0750,118.1750,310,0.277043,310,-1.11307,310,41.7768,310,0.229456,310,0.156632,310,89.5335,310,100790,310,1864.71,310,23.9691,310
35.0750,118.4250,154,0.374887,154,-1.01763,154,39.4376,154,0.239837,154,0.126976,154,66.0896,154,100991,154,1866.99,154,20.7584,154
35.0750,118.6750,379,0.324653,379,-0.679928,379,41.7962,379,0.259919,379,0.148571,379,89.0092,379,100877,379,1862.85,379,22.955,379
35.0750,118.9250,304,0.378803,304,-0.985807,304,43.7189,304,0.251228,304,0.144431,304,70.5072,304,101104,304,1864.23,304,22.1184,304
35.0750,119.1750,133,0.563969,133,-0.805738,133,41.5776,133,0.246542,133,0.143771,133,40.7588,133,101413,133,1864.43,133,23.5078,133
35.0750,119.4250,3,-4.98407,3,3.08117,3,19.849,3,0.0147816,3,-0.0280667,3,0,3,101649,3,1864.1,3,8.82661,3
35.0750,119.6750,38,-2.51425,38,4.30445,38,20.5007,38,0.00872784,38,-0.0253481,38,0.00116442,38,101460,38,1858.14,38,18.0541,38
35.0750,119.9250,53,-2.61423,53,3.48949,53,20.328,53,0.0415203,53,0.00269882,53,0.0159197,53,100937,53,1874.55,53,2.16436,53
35.0750,120.1750,46,-2.59371,46,4.97035,46,18.596,46,0.0174526,46,-0.0240302,46,0,46,100998,46,1873.18,46,-2.00553,46
35.0750,120.4250,46,-1.47163,46,4.58668,46,18.5178,46,0.0277322,46,-0.0205687,46,0,46,100899,46,1875.72,46,2.08423,46
35.0750,120.6750,56,-1.25763,56,3.3941,56,19.3924,56,0.020956,56,-0.0288398,56,0,56,100824,56,1872.96,56,8.89523,56
35.0750,120.9250,40,-1.97453,40,2.58194,40,19.971,40,0.0162587,40,-0.0328364,40,0,40,100859,40,1873.54,40,3.72798,40
35.0750,121.1750,41,-2.8756,41,2.80732,41,20.2811,41,0.0138289,41,-0.0302726,41,0,41,101070,41,1871.44,41,-0.151306,41
35.0750,121.4250,48,-2.68026,48,2.74157,48,20.2332,48,0.00929714,48,-0.0323645,48,0,48,101103,48,1869.23,48,-0.931425,48
35.0750,121.6750,58,-2.41807,58,2.92014,58,19.9117,58,0.00536868,58,-0.0321103,58,0,58,101144,58,1863.67,58,-1.99769,58
35.0750,121.9250,64,-1.88809,64,3.67101,64,19.8625,64,0.00402655,64,-0.0343006,64,0,64,100987,64,1861.01,64,-4.82271,64
35.0750,122.1750,57,-1.37798,57,3.0717,57,19.8797,57,0.00523099,57,-0.0315147,57,0,57,100986,57,1856.62,57,-0.080119,57
35.0750,122.4250,44,-2.005,44,3.56824,44,20.0624,44,0.013504,44,-0.0272011,44,0,44,101012,44,1854.44,44,6.2024,44
34.8250,114.9250,268,0.794778,268,0.0149448,268,40.3085,268,0.272573,268,0.15482,268,67.1349,268,100873,268,1869.6,268,25.8233,268
34.8250,115.1750,325,0.558051,325,-0.065655,325,40.997,325,0.275004,325,0.148242,325,65.4598,325,100903,325,1869.14,325,26.3155,325
34.8250,115.4250,280,0.542639,280,-0.311004,280,40.0714,280,0.273927,280,0.137856,280,56.3876,280,100953,280,1868.68,280,27.2313,280
34.8250,115.6750,370,0.709522,370,-0.0279208,370,41.1708,370,0.272348,370,0.141177,370,50.2794,370,101140,370,1866.44,370,29.6677,370
34.8250,115.9250,362,0.632238,362,-0.0665389,362,40.4672,362,0.270255,362,0.141329,362,45.7668,362,101156,362,1866.95,362,27.6913,362
34.8250,116.1750,368,0.634703,368,0.0329282,368,41.0352,368,0.266224,368,0.142439,368,42.2021,368,101301,368,1866.15,368,29.49,368
34.8250,116.4250,410,0.582809,410,-0.0211014,410,41.4357,410,0.278338,410,0.128576,410,38.7683,410,101417,410,1866.23,410,27.6137,410
34.8250,116.6750,354,0.469535,354,-0.342193,354,40.5819,354,0.273139,354,0.117744,354,37.4572,354,101394,354,1867.78,354,24.3466,354
34.8250,116.9250,169,0.771165,169,-1.5801,169,39.1917,169,0.240522,169,0.0900333,169,35.5272,169,101337,169,1870.89,169,19.7924,169
34.8250,117.1750,205,0.868604,205,-0.803332,205,41.0328,205,0.244677,205,0.114136,205,48.576,205,101232,205,1867.48,205,24.4858,205
34.8250,117.4250,332,0.708215,332,-0.650385,332,40.9814,332,0.24336,332,0.123675,332,95.9243,332,100707,332,1865.04,332,23.7541,332
34.8250,117.6750,323,0.808867,323,-0.740985,323,43.5116,323,0.247971,323,0.124486,323,76.1508,323,100997,323,1866.93,323,27.1905,323
34.8250,117.9250,342,0.450844,342,-0.852372,342,42.596,342,0.256667,342,0.126385,342,51.0208,342,101278,342,1865.87,342,21.4003,342
34.8250,118.1750,372,0.16461,372,-0.945478,372,42.904,372,0.246854,372,0.126587,372,47.7438,372,101360,372,1866.55,372,23.2509,372
34.8250,118.4250,287,0.137785,287,-1.13028,287,43.3073,287,0.248304,287,0.124993,287,55.7963,287,101270,287,1867.61,287,22.4677,287
34.8250,118.6750,235,0.151193,235,-0.906512,235,44.0763,235,0.251684,235,0.143258,235,55.6605,235,101417,235,1864.7,235,23.1144,235
34.8250,118.9250,161,0.332878,161,-1.26399,161,42.1063,161,0.263414,161,0.117715,161,22.2442,161,101633,161,1868.13,161,19.9383,161
34.8250,119.1750,39,0.510534,39,-1.65035,39,43.2022,39,0.258918,39,0.106152,39,6.43364,39,101639,39,1870.98,39,22.1985,39
34.8250,119.4250,2,-5.52312,2,3.92337,2,17.5309,2,0.0214119,2,-0.0371062,2,0,2,100755,2,1892.56,2,-19.6995,2
34.8250,119.6750,29,-2.3171,29,4.09889,29,20.3209,29,0.0124506,29,-0.0274571,29,0,29,101138,29,1868.52,29,4.86693,29
34.8250,119.9250,44,-2.88822,44,4.09747,44,20.1392,44,0.0180301,44,-0.0229212,44,0,44,100804,44,1876.49,44,-5.88588,44
34.8250,120.1750,51,-2.95211,51,4.03604,51,18.8866,51,0.019866,51,-0.024853,51,0,51,100802,51,1878.57,51,-4.59585,51
34.8250,120.4250,46,-2.06359,46,4.11386,46,18.119,46,0.0227083,46,-0.0265261,46,0,46,100768,46,1875.66,46,-6.47341,46
34.8250,120.6750,53,-1.32745,53,3.54095,53,19.3038,53,0.022211,53,-0.0250055,53,0,53,100937,53,1874.98,53,4.72644,53
34.8250,120.9250,45,-1.77414,45,3.88071,45,19.2869,45,0.0169594,45,-0.0308501,45,0,45,100841,45,1877.12,45,-9.17848,45
34.8250,121.1750,37,-3.00959,37,4.24676,37,19.4694,37,0.0179801,37,-0.0299971,37,0,37,100954,37,1875.55,37,-8.91419,37
34.8250,121.4250,40,-2.51089,40,4.67427,40,19.4423,40,0.0128124,40,-0.0333596,40,0,40,100908,40,1871.94,40,-9.5188,40
34.8250,121.6750,53,-1.62045,53,4.53764,53,18.8081,53,0.00981571,53,-0.0309747,53,0,53,100974,53,1860.95,53,-4.59413,53
34.8250,121.9250,49,-1.63671,49,4.93455,49,19.0963,49,0.010617,49,-0.028833,49,0,49,100993,49,1859.72,49,-6.62464,49
34.8250,122.1750,57,-2.37176,57,3.78113,57,19.5938,57,0.00571547,57,-0.0329977,57,0,57,101008,57,1858.13,57,-5.40097,57
34.8250,122.4250,52,-2.63827,52,2.83681,52,20.0321,52,0.0080942,52,-0.0306053,52,0,52,101068,52,1854,52,4.84189,52
34.5750,114.9250,332,0.699591,332,-0.247233,332,40.6866,332,0.281923,332,0.154011,332,60.8241,332,100960,332,1870.24,332,26.1289,332
34.5750,115.1750,246,0.65867,246,-0.219088,246,38.633,246,0.275319,246,0.148988,246,60.6646,246,100766,246,1870.99,246,25.5014,246
