centre_lat,centre_lon,sounding_count,ch4_bias_corrected_ppb,ch4_raw_ppb
35.0750,114.9250,104,1900.54,1893.56
35.0750,115.1750,330,1895.63,1891.68
35.0750,115.4250,340,1894.50,1889.72
35.0750,115.6750,375,1894.55,1889.07
35.0750,115.9250,384,1893.53,1888.17
35.0750,116.1750,398,1891.98,1886.56
35.0750,116.4250,352,1892.81,1884.42
35.0750,116.6750,116,1891.25,1877.20
35.0750,116.9250,164,1891.81,1883.51
35.0750,117.1750,293,1889.44,1884.10
35.0750,117.4250,336,1886.36,1880.24
35.0750,117.6750,298,1884.73,1877.33
35.0750,117.9250,277,1887.05,1881.31
35.0750,118.1750,310,1888.68,1885.26
35.0750,118.4250,154,1887.74,1881.94
35.0750,118.6750,379,1885.80,1881.61
35.0750,118.9250,304,1886.35,1881.73
35.0750,119.1750,133,1887.93,1883.38
35.0750,119.4250,3,1872.93,1865.74
35.0750,119.6750,38,1876.20,1869.00
35.0750,119.9250,53,1876.71,1864.17
35.0750,120.1750,46,1871.17,1864.00
35.0750,120.4250,46,1877.80,1870.60
35.0750,120.6750,56,1881.85,1874.63
35.0750,120.9250,40,1877.27,1870.07
35.0750,121.1750,41,1871.28,1864.11
35.0750,121.4250,48,1868.30,1861.14
35.0750,121.6750,58,1861.68,1854.54
35.0750,121.9250,64,1856.19,1849.07
35.0750,122.1750,57,1856.54,1849.42
35.0750,122.4250,44,1860.64,1853.50
34.8250,114.9250,268,1895.42,1891.32
34.8250,115.1750,325,1895.45,1890.75
34.8250,115.4250,280,1895.91,1890.35
34.8250,115.6750,370,1896.11,1890.90
34.8250,115.9250,362,1894.64,1889.47
34.8250,116.1750,368,1895.64,1890.60
34.8250,116.4250,410,1893.85,1887.33
34.8250,116.6750,354,1892.13,1884.59
34.8250,116.9250,169,1890.68,1879.04
34.8250,117.1750,205,1891.97,1884.01
34.8250,117.4250,332,1888.79,1882.43
34.8250,117.6750,323,1894.12,1887.51
34.8250,117.9250,342,1887.27,1881.29
34.8250,118.1750,372,1889.80,1883.77
34.8250,118.4250,287,1890.07,1883.63
34.8250,118.6750,235,1887.81,1883.12
34.8250,118.9250,161,1888.07,1880.72
34.8250,119.1750,39,1893.18,1884.57
