centre_lat,centre_lon,sounding_count,ch4_deseasonalised_ppb,mean_day_of_year,day_of_year_sd,poorly_identified
35.0750,114.9250,104,1897.1403,266.153,65.920,0
35.0750,115.1750,330,1894.2199,265.836,66.676,0
35.0750,115.4250,340,1893.1540,267.653,66.582,0
35.0750,115.6750,375,1893.5205,262.389,67.704,0
35.0750,115.9250,384,1893.6288,256.050,70.740,0
35.0750,116.1750,398,1892.1669,262.464,70.917,0
35.0750,116.4250,352,1890.3409,262.668,66.900,0
35.0750,116.6750,116,1884.8375,258.515,53.694,0
35.0750,116.9250,164,1888.2829,262.131,64.566,0
35.0750,117.1750,293,1888.2910,260.021,66.392,0
35.0750,117.4250,336,1885.6517,262.605,66.431,0
35.0750,117.6750,298,1883.4494,261.617,67.647,0
35.0750,117.9250,277,1885.5699,268.000,64.300,0
35.0750,118.1750,310,1888.1496,263.365,65.438,0
35.0750,118.4250,154,1885.3390,253.652,64.768,0
35.0750,118.6750,379,1886.5856,259.428,71.607,0
35.0750,118.9250,304,1885.0408,271.287,62.801,0
35.0750,119.1750,133,1887.2462,261.147,67.882,0
35.0750,119.4250,3,1883.7977,153.166,32.529,0
35.0750,119.6750,38,1890.2543,146.379,25.522,0
35.0750,119.9250,53,1877.9147,187.601,36.585,0
35.0750,120.1750,46,1875.9629,180.492,30.223,0
35.0750,120.4250,46,1879.8605,188.426,26.784,0
35.0750,120.6750,56,1882.9085,190.718,30.503,0
35.0750,120.9250,40,1877.1285,196.589,29.885,0
35.0750,121.1750,41,1872.8537,192.921,31.538,0
35.0750,121.4250,48,1871.1593,187.853,32.870,0
35.0750,121.6750,58,1868.2372,173.353,35.214,0
35.0750,121.9250,64,1864.1169,168.413,34.009,0
35.0750,122.1750,57,1867.9695,157.601,29.580,0
35.0750,122.4250,51,1874.2725,152.063,28.309,0
34.8250,114.9250,268,1893.7093,260.094,66.522,0
34.8250,115.1750,325,1893.7575,262.575,65.512,0
34.8250,115.4250,280,1894.7413,258.041,67.624,0
34.8250,115.6750,370,1896.2663,261.351,70.486,0
34.8250,115.9250,362,1894.5188,257.503,68.864,0
34.8250,116.1750,368,1896.0180,259.499,70.953,0
34.8250,116.4250,410,1894.0749,262.112,72.230,0
34.8250,116.6750,354,1891.0604,259.444,70.092,0
34.8250,116.9250,169,1886.2422,258.381,66.886,0
34.8250,117.1750,205,1889.9108,261.962,67.019,0
34.8250,117.4250,332,1888.3384,259.186,69.417,0
34.8250,117.6750,323,1891.7041,276.286,59.500,0
34.8250,117.9250,342,1886.6067,267.101,67.527,0
34.8250,118.1750,372,1889.1719,270.195,64.282,0
34.8250,118.4250,287,1888.1893,273.291,57.109,0
34.8250,118.6750,235,1887.1354,272.466,66.328,0
34.8250,118.9250,161,1885.1089,266.819,58.903,0
34.8250,119.1750,39,1887.4742,274.919,39.480,0
34.8250,119.4250,2,1871.4607,199.169,0.000,1
34.8250,119.6750,29,1880.9802,163.756,36.466,0
34.8250,119.9250,44,1870.3788,189.986,34.924,0
34.8250,120.1750,51,1873.7948,194.206,26.363,0
34.8250,120.4250,46,1871.9597,187.382,26.008,0
34.8250,120.6750,53,1879.6825,191.447,31.356,0
