variant,model,scheme,weighting,n,held_out_r2,delta_vs_committed,delta_vs_matched,comparison,soundings,basis
committed (no filter),constant (global mean),leave-one-province-out,unweighted,926,-0.1724,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),constant (global mean),leave-one-province-out,by sounding count,926,-0.0853,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),constant (global mean),spatial blocks,unweighted,926,-0.0084,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),constant (global mean),spatial blocks,by sounding count,926,-0.0031,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),spatial null (queen neighbour mean),leave-one-province-out,unweighted,926,-0.0912,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),spatial null (queen neighbour mean),leave-one-province-out,by sounding count,926,0.0028,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),spatial null (queen neighbour mean),spatial blocks,unweighted,926,0.3324,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),spatial null (queen neighbour mean),spatial blocks,by sounding count,926,0.5137,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),OLS impervious_fraction,leave-one-province-out,unweighted,926,-0.1174,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),OLS impervious_fraction,leave-one-province-out,by sounding count,926,-0.1620,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),OLS impervious_fraction,spatial blocks,unweighted,926,0.0847,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),OLS impervious_fraction,spatial blocks,by sounding count,926,0.0244,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),OLS rice_fraction_single,leave-one-province-out,unweighted,531,-0.0674,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),OLS rice_fraction_single,leave-one-province-out,by sounding count,531,-0.4140,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),OLS rice_fraction_single,spatial blocks,unweighted,531,-0.0314,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),OLS rice_fraction_single,spatial blocks,by sounding count,531,-0.0925,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),OLS impervious_fraction + rice_fraction_single,leave-one-province-out,unweighted,531,-0.1290,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),OLS impervious_fraction + rice_fraction_single,leave-one-province-out,by sounding count,531,-0.8454,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),OLS impervious_fraction + rice_fraction_single,spatial blocks,unweighted,531,0.0169,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),OLS impervious_fraction + rice_fraction_single,spatial blocks,by sounding count,531,-0.0775,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,926,-0.2863,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,926,-0.0775,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),"OLS trend surface (lat, lon)",spatial blocks,unweighted,926,0.2401,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),"OLS trend surface (lat, lon)",spatial blocks,by sounding count,926,0.2579,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),"OLS wind (u, v, speed)",leave-one-province-out,unweighted,926,0.6332,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,926,0.3110,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),"OLS wind (u, v, speed)",spatial blocks,unweighted,926,0.6527,+0.0000,+0.0000,same cells as committed,110920,filter
committed (no filter),"OLS wind (u, v, speed)",spatial blocks,by sounding count,926,0.5627,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,constant (global mean),leave-one-province-out,unweighted,926,-0.1724,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,constant (global mean),leave-one-province-out,by sounding count,926,-0.0853,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,constant (global mean),spatial blocks,unweighted,926,-0.0084,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,constant (global mean),spatial blocks,by sounding count,926,-0.0031,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,spatial null (queen neighbour mean),leave-one-province-out,unweighted,926,-0.0912,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,spatial null (queen neighbour mean),leave-one-province-out,by sounding count,926,0.0028,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,spatial null (queen neighbour mean),spatial blocks,unweighted,926,0.3324,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,spatial null (queen neighbour mean),spatial blocks,by sounding count,926,0.5137,+0.0000,+0.0000,same cells as committed,110920,filter
