source,year,province,rice_area_km2,thesis_pppm_km2
GloRice,2000,Shanghai,1730.7,1123
GloRice,2000,Zhejiang,9675.1,5983
GloRice,2000,Anhui,17011.9,19651
GloRice,2000,Jiangsu,22356.6,15505
GloRice,2010,Shanghai,1176.1,577
GloRice,2010,Zhejiang,6260.0,6028
GloRice,2010,Anhui,18780.1,22977
GloRice,2010,Jiangsu,22297.3,18825
GloRice,2018,Shanghai,1023.1,536
GloRice,2018,Zhejiang,5010.8,4463
GloRice,2018,Anhui,22328.9,17430
GloRice,2018,Jiangsu,22456.8,16038
GloRice,2019,Shanghai,1023.1,
GloRice,2019,Zhejiang,4758.9,
GloRice,2019,Anhui,22216.9,
GloRice,2019,Jiangsu,22151.8,
GloRice,2020,Shanghai,1024.4,
GloRice,2020,Zhejiang,4809.5,
GloRice,2020,Anhui,22182.8,
GloRice,2020,Jiangsu,22273.4,
GloRice,2021,Shanghai,1022.5,
GloRice,2021,Zhejiang,4789.7,
GloRice,2021,Anhui,22182.3,
GloRice,2021,Jiangsu,22436.1,
SPAM,2000,Shanghai,1299.4,1123
SPAM,2000,Zhejiang,9843.4,5983
SPAM,2000,Anhui,10746.3,19651
SPAM,2000,Jiangsu,11023.7,15505
SPAM,2010,Shanghai,616.4,577
SPAM,2010,Zhejiang,4685.1,6028
SPAM,2010,Anhui,11548.8,22977
SPAM,2010,Jiangsu,10662.6,18825
