quantity,field,window,predictor,cell_set,value,n_cells,pearson,spearman,slope_ppb_per_unit,effective_n,p_nominal,p_corrected,note
annual composite cells,bias_corrected,annual,,any coverage,926,926,,,,,,,cells with at least one sounding in the window
annual composite soundings,bias_corrected,annual,,any coverage,110920,926,,,,,,,soundings in the window
annual composite between-cell sd,bias_corrected,annual,,any coverage,14.8649,926,,,,,,,"ppb, between covered cells"
flooded composite cells,bias_corrected,flooded,,any coverage,833,833,,,,,,,cells with at least one sounding in the window
flooded composite soundings,bias_corrected,flooded,,any coverage,26836,833,,,,,,,soundings in the window
flooded composite between-cell sd,bias_corrected,flooded,,any coverage,17.0164,833,,,,,,,"ppb, between covered cells"
growing composite cells,bias_corrected,growing,,any coverage,870,870,,,,,,,cells with at least one sounding in the window
growing composite soundings,bias_corrected,growing,,any coverage,30684,870,,,,,,,soundings in the window
growing composite between-cell sd,bias_corrected,growing,,any coverage,23.2295,870,,,,,,,"ppb, between covered cells"
october composite cells,bias_corrected,october,,any coverage,745,745,,,,,,,cells with at least one sounding in the window
october composite soundings,bias_corrected,october,,any coverage,34182,745,,,,,,,soundings in the window
october composite between-cell sd,bias_corrected,october,,any coverage,9.5565,745,,,,,,,"ppb, between covered cells"
off composite cells,bias_corrected,off,,any coverage,742,742,,,,,,,cells with at least one sounding in the window
off composite soundings,bias_corrected,off,,any coverage,35035,742,,,,,,,soundings in the window
off composite between-cell sd,bias_corrected,off,,any coverage,7.8448,742,,,,,,,"ppb, between covered cells"
bias_corrected annual level vs impervious_fraction,bias_corrected,annual,impervious_fraction,every window >= 15,+0.0642,366,0.064197183510518,0.041942272025533404,2.6622421147985733,73.251216656388,0.22048952943297762,0.5888167234294692,Pearson on the strict common set
bias_corrected annual level vs rice_fraction_single,bias_corrected,annual,rice_fraction_single,every window >= 15,-0.0545,262,-0.054499736543258105,-0.09149062307437987,-1.7636933934294947,28.484164130944595,0.37962337577672234,0.780978908217588,Pearson on the strict common set
bias_corrected annual level vs rice_fraction_combined,bias_corrected,annual,rice_fraction_combined,every window >= 15,-0.0557,262,-0.055699217133911676,-0.08541804910971502,-1.7620440459423496,28.362516526419657,0.3692084539048152,0.7767884166426845,Pearson on the strict common set
bias_corrected flooded level vs impervious_fraction,bias_corrected,flooded,impervious_fraction,every window >= 15,-0.0668,366,-0.06682290355735018,-0.10556897318710529,-5.251607947761749,80.42633603226304,0.20214985810563044,0.554820603854221,Pearson on the strict common set
bias_corrected flooded level vs rice_fraction_single,bias_corrected,flooded,rice_fraction_single,every window >= 15,+0.0691,262,0.06914093971389967,0.1246659200223126,4.254858518769995,53.72773173541322,0.26479570846509803,0.6202669973413337,Pearson on the strict common set
bias_corrected flooded level vs rice_fraction_combined,bias_corrected,flooded,rice_fraction_combined,every window >= 15,+0.0932,262,0.09320301987170916,0.1370205820956819,5.606848403202965,54.483783015836465,0.1324047513634932,0.500644560996625,Pearson on the strict common set
bias_corrected growing level vs impervious_fraction,bias_corrected,growing,impervious_fraction,every window >= 15,-0.0220,366,-0.02195829850598252,-0.13111192833903726,-2.105779797097786,52.31010921702696,0.6754350363445225,0.8768243785878602,Pearson on the strict common set
bias_corrected growing level vs rice_fraction_single,bias_corrected,growing,rice_fraction_single,every window >= 15,+0.1103,262,0.11029870377986906,0.09913388587684506,8.593050217699062,27.144453780316585,0.07470919042209555,0.5828020401080622,Pearson on the strict common set
bias_corrected growing level vs rice_fraction_combined,bias_corrected,growing,rice_fraction_combined,every window >= 15,+0.1376,262,0.13761726675556227,0.12786334606765642,10.480665325711442,27.470109861580305,0.02591469707797539,0.4895373897935056,Pearson on the strict common set
bias_corrected october level vs impervious_fraction,bias_corrected,october,impervious_fraction,every window >= 15,+0.0972,366,0.09722757451323208,0.08377966420090915,4.255148896436412,77.36642193461817,0.06315271796339719,0.39907445582054585,Pearson on the strict common set
bias_corrected october level vs rice_fraction_single,bias_corrected,october,rice_fraction_single,every window >= 15,-0.2042,262,-0.20417681346512861,-0.23314286896258143,-6.534122720570085,41.16044264506529,0.0008868054436872014,0.1994422195423335,Pearson on the strict common set
bias_corrected october level vs rice_fraction_combined,bias_corrected,october,rice_fraction_combined,every window >= 15,-0.1942,262,-0.19420198631081398,-0.20743535004041824,-6.075380974860429,40.79508649587344,0.0015856810183619543,0.22496687238456983,Pearson on the strict common set
bias_corrected off level vs impervious_fraction,bias_corrected,off,impervious_fraction,every window >= 15,+0.0719,366,0.07193325803234038,0.09736386883043058,3.960656022620693,44.961614439839586,0.16967888268779147,0.6388115011414544,Pearson on the strict common set
bias_corrected off level vs rice_fraction_single,bias_corrected,off,rice_fraction_single,every window >= 15,-0.2721,262,-0.27208904594138056,-0.2887208327453259,-10.491896727820874,42.42880844946712,7.907894126073364e-06,0.07966833683100503,Pearson on the strict common set
bias_corrected off level vs rice_fraction_combined,bias_corrected,off,rice_fraction_combined,every window >= 15,-0.2730,262,-0.2729596409320325,-0.2841121888189508,-10.289170679711104,42.435432262495326,7.3765097433954415e-06,0.07864713839025467,Pearson on the strict common set
raw annual level vs impervious_fraction,raw,annual,impervious_fraction,every window >= 15,+0.1952,366,0.1952121691508228,0.20373773673689044,11.12142955024549,40.90572883820065,0.00017122814176930907,0.2218502525754897,Pearson on the strict common set
raw annual level vs rice_fraction_single,raw,annual,rice_fraction_single,every window >= 15,-0.1523,262,-0.15228736082148314,-0.22289535869455346,-6.3603225715850105,30.12132613929131,0.013601864896074834,0.42073825089579686,Pearson on the strict common set
raw annual level vs rice_fraction_combined,raw,annual,rice_fraction_combined,every window >= 15,-0.1839,262,-0.18386485579581544,-0.26009346065654665,-7.506767949930382,30.17275537125748,0.002813684232087687,0.3292370725864732,Pearson on the strict common set
raw flooded level vs impervious_fraction,raw,flooded,impervious_fraction,every window >= 15,+0.1690,366,0.16901191475209604,0.1392458074065734,12.981653127686302,143.39576298771158,0.0011715901128761992,0.04330762859273342,Pearson on the strict common set
raw flooded level vs rice_fraction_single,raw,flooded,rice_fraction_single,every window >= 15,-0.0459,262,-0.045878426400028816,-0.05306546216051119,-2.8397878167146167,74.38062049527515,0.45963628387049765,0.697144219464896,Pearson on the strict common set
raw flooded level vs rice_fraction_combined,raw,flooded,rice_fraction_combined,every window >= 15,-0.0377,262,-0.03773651356683693,-0.051706956436738255,-2.2833797007113255,73.88033859637491,0.5431112999652868,0.7497707314233115,Pearson on the strict common set
raw growing level vs impervious_fraction,raw,growing,impervious_fraction,every window >= 15,+0.1648,366,0.16476590104409264,0.09753177449486032,15.066133547173736,102.90929566828845,0.0015614188624571278,0.09642848036189154,Pearson on the strict common set
raw growing level vs rice_fraction_single,raw,growing,rice_fraction_single,every window >= 15,-0.0577,262,-0.05767218000686439,-0.11162733438957824,-4.488618397617642,33.914255808257394,0.3524661618893645,0.7462909181877285,Pearson on the strict common set
raw growing level vs rice_fraction_combined,raw,growing,rice_fraction_combined,every window >= 15,-0.0648,262,-0.06475536508722277,-0.11412615754062423,-4.926756036217357,33.877756894660656,0.2963735456327272,0.7165018975570817,Pearson on the strict common set
raw october level vs impervious_fraction,raw,october,impervious_fraction,every window >= 15,+0.1297,366,0.12972772751314754,0.22692095645038612,9.19083804111085,35.77715919077308,0.012996962230196894,0.4523036872007358,Pearson on the strict common set
raw october level vs rice_fraction_single,raw,october,rice_fraction_single,every window >= 15,-0.2554,262,-0.25544698671180543,-0.2503864168110413,-12.404929654070868,31.30619933328234,2.856254019246061e-05,0.16320115616366968,Pearson on the strict common set
raw october level vs rice_fraction_combined,raw,october,rice_fraction_combined,every window >= 15,-0.2927,262,-0.29271165205487243,-0.2933955336788983,-13.895446824449236,30.881201111370455,1.4261829841183382e-06,0.11078634732668678,Pearson on the strict common set
raw off level vs impervious_fraction,raw,off,impervious_fraction,every window >= 15,+0.1285,366,0.1284789997062981,0.16369345957261153,8.817441894718394,30.903464393705235,0.013903675883292773,0.49167926467466483,Pearson on the strict common set
raw off level vs rice_fraction_single,raw,off,rice_fraction_single,every window >= 15,-0.1438,262,-0.1437938132256148,-0.23066005963146197,-6.617743903920407,46.28734075009267,0.019886054012392625,0.33880577764564895,Pearson on the strict common set
