source,year,province,urban_area_km2,boundary,thesis_urban_km2
GAIA,2000,Shanghai,1131.5,gadm,1211
GAIA,2000,Zhejiang,2821.2,gadm,1752
GAIA,2000,Anhui,4122.1,gadm,2326
GAIA,2000,Jiangsu,8450.5,gadm,3008
GAIA,2010,Shanghai,2252.6,gadm,3310
GAIA,2010,Zhejiang,5977.6,gadm,6731
GAIA,2010,Anhui,6642.3,gadm,4748
GAIA,2010,Jiangsu,13953.2,gadm,10042
GAIA,2018,Shanghai,3488.8,gadm,5121
GAIA,2018,Zhejiang,11682.3,gadm,14957
GAIA,2018,Anhui,11591.0,gadm,10217
GAIA,2018,Jiangsu,23009.5,gadm,19430
GAIA,1985,Shanghai,287.4,natural_earth,
GAIA,1985,Zhejiang,436.3,natural_earth,
GAIA,1985,Anhui,978.5,natural_earth,
GAIA,1985,Jiangsu,1530.7,natural_earth,
GAIA,1986,Shanghai,388.2,natural_earth,
GAIA,1986,Zhejiang,680.0,natural_earth,
GAIA,1986,Anhui,1463.6,natural_earth,
GAIA,1986,Jiangsu,2675.3,natural_earth,
GAIA,1987,Shanghai,457.7,natural_earth,
GAIA,1987,Zhejiang,804.6,natural_earth,
GAIA,1987,Anhui,1870.5,natural_earth,
GAIA,1987,Jiangsu,3381.4,natural_earth,
GAIA,1988,Shanghai,498.8,natural_earth,
GAIA,1988,Zhejiang,1055.6,natural_earth,
GAIA,1988,Anhui,2172.9,natural_earth,
GAIA,1988,Jiangsu,3979.9,natural_earth,
GAIA,1989,Shanghai,531.6,natural_earth,
GAIA,1989,Zhejiang,1120.5,natural_earth,
GAIA,1989,Anhui,2386.5,natural_earth,
GAIA,1989,Jiangsu,4400.9,natural_earth,
GAIA,1990,Shanghai,581.4,natural_earth,
GAIA,1990,Zhejiang,1383.6,natural_earth,
GAIA,1990,Anhui,2543.5,natural_earth,
GAIA,1990,Jiangsu,4746.5,natural_earth,
GAIA,1991,Shanghai,603.0,natural_earth,
GAIA,1991,Zhejiang,1458.4,natural_earth,
GAIA,1991,Anhui,2682.3,natural_earth,
GAIA,1991,Jiangsu,5010.0,natural_earth,
GAIA,1992,Shanghai,629.2,natural_earth,
GAIA,1992,Zhejiang,1542.1,natural_earth,
GAIA,1992,Anhui,2813.5,natural_earth,
GAIA,1992,Jiangsu,5355.6,natural_earth,
GAIA,1993,Shanghai,662.1,natural_earth,
GAIA,1993,Zhejiang,1628.9,natural_earth,
GAIA,1993,Anhui,2949.3,natural_earth,
GAIA,1993,Jiangsu,5799.9,natural_earth,
GAIA,1994,Shanghai,705.3,natural_earth,
GAIA,1994,Zhejiang,1743.3,natural_earth,
GAIA,1994,Anhui,3047.5,natural_earth,
GAIA,1994,Jiangsu,6159.6,natural_earth,
GAIA,1995,Shanghai,761.4,natural_earth,
GAIA,1995,Zhejiang,1868.5,natural_earth,
GAIA,1995,Anhui,3150.3,natural_earth,
GAIA,1995,Jiangsu,6574.4,natural_earth,
GAIA,1996,Shanghai,807.4,natural_earth,
GAIA,1996,Zhejiang,2008.4,natural_earth,
GAIA,1996,Anhui,3300.1,natural_earth,
GAIA,1996,Jiangsu,6934.6,natural_earth,
GAIA,1997,Shanghai,865.0,natural_earth,
GAIA,1997,Zhejiang,2148.7,natural_earth,
GAIA,1997,Anhui,3450.5,natural_earth,
GAIA,1997,Jiangsu,7230.4,natural_earth,
GAIA,1998,Shanghai,938.4,natural_earth,
GAIA,1998,Zhejiang,2284.0,natural_earth,
GAIA,1998,Anhui,3612.4,natural_earth,
GAIA,1998,Jiangsu,7527.7,natural_earth,
GAIA,1999,Shanghai,1020.9,natural_earth,
GAIA,1999,Zhejiang,2431.1,natural_earth,
GAIA,1999,Anhui,3847.4,natural_earth,
GAIA,1999,Jiangsu,7882.1,natural_earth,
GAIA,2000,Shanghai,1110.2,natural_earth,1211
GAIA,2000,Zhejiang,2742.6,natural_earth,1752
GAIA,2000,Anhui,4110.4,natural_earth,2326
GAIA,2000,Jiangsu,8423.9,natural_earth,3008
GAIA,2001,Shanghai,1179.7,natural_earth,
GAIA,2001,Zhejiang,2952.4,natural_earth,
GAIA,2001,Anhui,4320.2,natural_earth,
GAIA,2001,Jiangsu,8832.5,natural_earth,
GAIA,2002,Shanghai,1289.1,natural_earth,
GAIA,2002,Zhejiang,3140.6,natural_earth,
GAIA,2002,Anhui,4497.9,natural_earth,
GAIA,2002,Jiangsu,9239.1,natural_earth,
GAIA,2003,Shanghai,1383.1,natural_earth,
GAIA,2003,Zhejiang,3403.6,natural_earth,
GAIA,2003,Anhui,4646.5,natural_earth,
GAIA,2003,Jiangsu,9613.7,natural_earth,
GAIA,2004,Shanghai,1468.8,natural_earth,
GAIA,2004,Zhejiang,3708.0,natural_earth,
GAIA,2004,Anhui,4785.5,natural_earth,
GAIA,2004,Jiangsu,10098.0,natural_earth,
GAIA,2005,Shanghai,1566.8,natural_earth,
GAIA,2005,Zhejiang,4033.6,natural_earth,
GAIA,2005,Anhui,4970.7,natural_earth,
GAIA,2005,Jiangsu,10595.3,natural_earth,
GAIA,2006,Shanghai,1657.0,natural_earth,
GAIA,2006,Zhejiang,4282.6,natural_earth,
GAIA,2006,Anhui,5236.2,natural_earth,
GAIA,2006,Jiangsu,11041.2,natural_earth,
GAIA,2007,Shanghai,1767.1,natural_earth,
GAIA,2007,Zhejiang,4551.5,natural_earth,
GAIA,2007,Anhui,5617.0,natural_earth,
GAIA,2007,Jiangsu,11604.9,natural_earth,
GAIA,2008,Shanghai,1890.6,natural_earth,
GAIA,2008,Zhejiang,4858.3,natural_earth,
GAIA,2008,Anhui,5892.3,natural_earth,
GAIA,2008,Jiangsu,12189.8,natural_earth,
GAIA,2009,Shanghai,2016.1,natural_earth,
GAIA,2009,Zhejiang,5208.5,natural_earth,
GAIA,2009,Anhui,6174.5,natural_earth,
GAIA,2009,Jiangsu,12845.2,natural_earth,
GAIA,2010,Shanghai,2215.4,natural_earth,3310
GAIA,2010,Zhejiang,5843.2,natural_earth,6731
GAIA,2010,Anhui,6625.9,natural_earth,4748
GAIA,2010,Jiangsu,13881.1,natural_earth,10042
GAIA,2011,Shanghai,2344.6,natural_earth,
GAIA,2011,Zhejiang,6432.2,natural_earth,
GAIA,2011,Anhui,7083.2,natural_earth,
GAIA,2011,Jiangsu,14724.4,natural_earth,
GAIA,2012,Shanghai,2491.7,natural_earth,
GAIA,2012,Zhejiang,7051.3,natural_earth,
GAIA,2012,Anhui,7890.6,natural_earth,
GAIA,2012,Jiangsu,15993.6,natural_earth,
GAIA,2013,Shanghai,2682.0,natural_earth,
GAIA,2013,Zhejiang,7837.4,natural_earth,
GAIA,2013,Anhui,8785.1,natural_earth,
GAIA,2013,Jiangsu,17640.8,natural_earth,
GAIA,2014,Shanghai,2843.9,natural_earth,
GAIA,2014,Zhejiang,8624.7,natural_earth,
GAIA,2014,Anhui,9370.6,natural_earth,
GAIA,2014,Jiangsu,18878.8,natural_earth,
GAIA,2015,Shanghai,3047.7,natural_earth,
GAIA,2015,Zhejiang,9666.7,natural_earth,
GAIA,2015,Anhui,10166.7,natural_earth,
GAIA,2015,Jiangsu,20159.6,natural_earth,
GAIA,2016,Shanghai,3282.1,natural_earth,
GAIA,2016,Zhejiang,10667.2,natural_earth,
GAIA,2016,Anhui,11047.4,natural_earth,
GAIA,2016,Jiangsu,22043.3,natural_earth,
GAIA,2017,Shanghai,3356.9,natural_earth,
GAIA,2017,Zhejiang,11054.6,natural_earth,
